quad_id,scale,manual_excluded_50m,n_available_pixels,sample_index,mean_reflectance,pc1
sub50_1,50m,FALSE,175140,166075,0.17216448894555658,-13.546120344369248
sub50_1,50m,FALSE,175140,46928,0.25126909898701777,5.614927609483375
sub50_1,50m,FALSE,175140,124757,0.27492925948040053,5.42341051030474
sub50_1,50m,FALSE,175140,10554,0.2352956061151402,-1.5059511249750532
sub50_1,50m,FALSE,175140,153474,0.2539974450372344,7.432734700776432
sub50_1,50m,FALSE,175140,24686,0.28973750933265885,19.772705376817107
sub50_1,50m,FALSE,175140,132679,0.25917803787064453,8.231357502512884
sub50_1,50m,FALSE,175140,93519,0.25744159704397535,4.888233238416581
sub50_1,50m,FALSE,175140,821,0.26424114369548674,4.2317648076336445
sub50_1,50m,FALSE,175140,17116,0.23894137147937186,11.53885401264846
sub50_1,50m,FALSE,175140,114262,0.23433778639728867,1.473819943685875
sub50_1,50m,FALSE,175140,31195,0.2532452933243976,1.8128881871119267
sub50_1,50m,FALSE,175140,10987,0.15535553061395638,-16.362625385033397
sub50_1,50m,FALSE,175140,117554,0.24759412336755882,6.858810978059332
sub50_1,50m,FALSE,175140,82,0.1616329007073929,-14.57041456297988
sub50_1,50m,FALSE,175140,88687,0.2277148096968443,-1.460559737781337
sub50_1,50m,FALSE,175140,101526,0.262428388876979,10.893254172488543
sub50_1,50m,FALSE,175140,157426,0.16355406731551836,-14.649238056232367
sub50_1,50m,FALSE,175140,38344,0.25415514458032434,5.433492373635102
sub50_1,50m,FALSE,175140,113742,0.23643650867291227,0.3446803487246323
sub50_1,50m,FALSE,175140,149526,0.2564384619251263,7.741250712411619
sub50_1,50m,FALSE,175140,100499,0.2644525051486394,7.367118765928151
sub50_1,50m,FALSE,175140,154495,0.2531590035439215,6.177923014482918
sub50_1,50m,FALSE,175140,144487,0.22863063627222846,0.7213095705140362
sub50_1,50m,FALSE,175140,84727,0.29668669137826637,15.703730032750656
sub50_1,50m,FALSE,175140,170745,0.17299756904186542,-12.409063158831197
sub50_1,50m,FALSE,175140,111481,0.29507860219614074,14.45302523625993
sub50_1,50m,FALSE,175140,92038,0.27760748248085504,9.172765328679892
sub50_1,50m,FALSE,175140,118973,0.19288841533389958,-8.543568045441548
sub50_1,50m,FALSE,175140,70568,0.2665256430695126,7.537897671464241
sub50_1,50m,FALSE,175140,119000,0.2941892217567637,16.409167753741865
sub50_1,50m,FALSE,175140,103636,0.2867689224591186,12.665555446340226
sub50_1,50m,FALSE,175140,172492,0.25090154879226173,4.712702381472702
sub50_1,50m,FALSE,175140,9236,0.25233538221752594,0.8975658904813829
sub50_1,50m,FALSE,175140,144735,0.2342527900930217,2.5765791448498487
sub50_1,50m,FALSE,175140,25587,0.29042404185026144,18.81911989847545
sub50_1,50m,FALSE,175140,83903,0.1779405898299099,-11.887057910406277
sub50_1,50m,FALSE,175140,149420,0.2524739758319352,7.762797562792011
sub50_1,50m,FALSE,175140,33485,0.26540857938326096,13.131594480132055
sub50_1,50m,FALSE,175140,95682,0.22865324644448837,-1.7235647422044937
sub50_1,50m,FALSE,175140,148228,0.1661015926005919,-10.995566273204114
sub50_1,50m,FALSE,175140,80201,0.2697288982785684,5.356541728576968
sub50_1,50m,FALSE,175140,4987,0.14989942201405518,-15.577081332411632
