"scale","region","region_label","brightness_column","metric","metric_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.254853123340399,0.0649501144763568,30.1463591613114,6.83100042229812e-08,7.20589227614852,4.63896021370661,0.167948329070617,0.000428556561409755
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_convex","Raw PCA convex hull",436,0.199647877358703,0.0398592749338356,18.0170727786727,2.67916963227916e-05,2931.92153531207,83.6439991070528,0.246597802016423,1.83734234299998e-07
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",436,0.128848018784263,0.0166018119446298,7.32682495400697,0.0070612895506669,21797.8884026965,2103.11760577199,0.185439969537201,9.8272999011076e-05
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",436,0.170071597767943,0.028924348367341,12.9270743945855,0.000361058336717446,6138.4708368552,736.694962117583,0.210220095167288,9.57820497026543e-06
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,-0.366067482740312,0.134005401919829,67.1578605249239,2.84421948893917e-15,-1173.39909882825,1200.12428538992,-0.387414694391095,4.60480913475959e-17
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,-0.202732223583022,0.0411003544789166,18.6021070371306,1.99549954117563e-05,-497.40195557396,386.978419378977,-0.341521561768609,2.26200669166536e-13
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,-0.35699577654456,0.127445984470654,63.3904105371725,1.49845551981445e-14,-11.3451718082399,12.4043042269553,-0.441089884801684,3.49588380320469e-22
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_convex","Std PCA convex hull",436,0.0152373305150072,0.000232176241223568,0.100787889244314,0.751038855141471,439.971447397092,2349.92888373796,0.0689191859888501,0.150816820587115
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_hull3d_v","Std PCA 3D hull volume",436,-0.030342167724992,0.000920647142251547,0.399929053277174,0.52745891683889,-19989.4798460582,52759.616908421,0.00988926106719697,0.836864280733119
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_hull3d_a","Std PCA 3D hull area",436,-0.0115663619794897,0.000133780729440585,0.0580686050375533,0.809688846477498,-890.254464810026,7612.90213860201,0.0378807216382152,0.43012065318395
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_sa","Spectral angle entropy",80,-0.166230605307268,0.0276326141408207,2.21659419508354,0.140566182156453,-6.59978024507743,2.9765184833129,-0.232114392873887,0.0382834576049779
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_alpha","Raw PCA alpha hull",74,0.524300873030857,0.274891405460918,27.2954717986305,1.63068197105334e-06,33012.8981073634,79.2331665961223,0.471691965938541,2.21255303280097e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",74,0.365001735912834,0.133226267219382,11.0666612023686,0.00138626437028491,8788.31690155078,19.4499197878061,0.443643095149944,7.52743615463177e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_pca_mean","Raw PCA mean distance",74,0.459069983465747,0.210745249719241,19.2252982631877,3.88988817266289e-05,204.633016934194,4.42758116428889,0.441095890410959,8.36907920195662e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_convex","Raw PCA convex hull",74,0.260688208708579,0.0679583421596876,5.24976603174086,0.0248782669832029,103374.273799722,-21.788880752642,0.466716031099593,2.77108182703322e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",74,0.263909385773857,0.0696481638995345,5.39007674965772,0.0230849259707029,1269476.2866146,-5390.89865912748,0.411417993335802,0.000270983219203073
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",74,0.28296584634277,0.0800696701964804,6.26679659032211,0.0145708028428765,272561.230385004,-375.411795872672,0.43795631247686,9.52606724938015e-05
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",74,0.235232469126519,0.0553343145313587,4.21743978588717,0.0436431658410017,14821.2129105215,401.78870586567,0.0849611255090707,0.471695341369171
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",74,0.0810274715446123,0.00656545114491297,0.475836564148615,0.492531676424412,2997.39136002638,105.549757311642,0.168130322102925,0.152171285048016
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_mean","Std PCA mean distance",74,0.137086305293475,0.018792655099016,1.37898597494263,0.244143411222163,73.8855427042007,5.87622491062806,0.0124546464272492,0.916122712342313
"50m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_convex","Std PCA convex hull",74,0.177565161172577,0.0315293864622433,2.3440213812879,0.130146668979924,123439.197960798,906.223890662304,0.312491669751944,0.00671550363755319
