"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"20m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",436,0.658495537653495,0.433616373109566,332.265088527985,1.5421280686009e-55,0.504026003985275,-173.792677489853,0.917496056414091,7.0558193183367e-176
"20m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance",436,0.903920058119369,0.817071471470524,1938.51129437729,3.4806869496658e-162,0.00896176239002932,1.25983006347935,0.951061311449538,1.77000876897317e-223
"20m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance",436,0.897600332573164,0.805686357035454,1799.50246219812,1.71726335632562e-156,0.0116264278033336,5.2949007491529,0.963070227319947,1.93649068568433e-249
"50m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",74,0.362979669499701,0.131754240470112,10.925829708612,0.00148057712672248,679.682044390048,-1198.0515156772,0.380170307293595,0.000834585064465433
"50m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",74,0.405639432428957,0.164543349141286,14.1804139400837,0.000336452356000964,290.449993405995,-631.163319579208,0.358963346908552,0.00168525304323608
"50m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",74,0.301082921749422,0.0906509257691681,7.17751503832653,0.00914177056976613,3.99119877322698,-2.8605412468393,0.326915957052943,0.00447019637164743
"50m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",74,0.678140726175646,0.459874844498032,61.3024379008722,3.18859056090029e-11,1270.65231324744,-2909.9257038192,0.753898556090337,9.00269424343828e-15
"50m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",74,0.639687909672512,0.409200621781188,49.8687809338447,8.50224045414656e-10,703.719737726796,-1831.21959347659,0.683820807108478,1.88201943357957e-11
"50m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",74,0.706257945241418,0.498800285216631,71.6553092036777,2.07719570558133e-12,11.3200714531713,-24.7730539477274,0.756445760829322,6.50127876608046e-15
"50m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",74,0.798783643997049,0.638055309917204,126.925421404938,1.50378861548183e-17,0.305447708974473,-30.2712494930444,0.876430951499444,1.49974093337125e-24
