"quad_id","scale","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"1006_d","10m",8257,0.0564512763243673,0.0553377754986286,0.0153732416877133,8257,0.0185497998252417,8257,0.0448410297806995,8257,0.107089535011254,8257,0.455810045870602
"1007_a","10m",8143,0.0584537476414649,0.0574577078223228,0.0152310121874441,8143,0.0205269755787986,8143,0.0472082276977514,8143,0.111964295402372,8143,0.474102914010012
"1007_b","10m",7968,0.0622395020771686,0.062949538230896,0.0156343625339858,7968,0.0214841057442372,7968,0.0501369185716763,7968,0.112702845088411,7968,0.471809368245734
"1007_c","10m",6227,0.0615870956623436,0.0622635893523693,0.0168641604190351,6227,0.0187509734992149,6227,0.0487283725795856,6227,0.110109440592195,6227,0.450757566292706
"1007_d","10m",8287,0.0604493996186655,0.0581923238933086,0.0164189423969215,8287,0.0223414146454654,8287,0.049280665683171,8287,0.1074414999135,8287,0.444796077016927
"1008_a","10m",5961,0.0655522979258481,0.0653505697846413,0.0186127125985079,5961,0.0176439810603952,5961,0.0512195002702277,5961,0.112256488235992,5961,0.454863901028591
"1008_b","10m",7981,0.0632892693811275,0.0628092288970947,0.0180411290517789,7981,0.0175687678830406,7981,0.0497511536665323,7981,0.112194837102845,7981,0.465183053210577
"1008_c","10m",6769,0.0668232840727885,0.0653467178344727,0.0221537961706989,6769,0.0192429472663907,6769,0.0532344265248166,6769,0.108675636193218,6769,0.426914887649369
"1008_d","10m",7119,0.073274504872933,0.0735722705721855,0.0237947607416532,7119,0.0204651087187646,7119,0.0577226498394455,7119,0.119664921617325,7119,0.459535628986197
"1009_a","10m",7147,0.0620196212337987,0.060233112424612,0.0197762212628882,7147,0.0173020264760644,7147,0.0493710346844334,7147,0.108849074985748,7147,0.444320748006946
"1009_b","10m",7837,0.0596764419452202,0.0574134588241577,0.0180475891538399,7837,0.0189115747510615,7837,0.0484734007835722,7837,0.103618913419057,7837,0.422808666082005
"1009_c","10m",8061,0.0612865009348234,0.0602215453982353,0.0169097297826308,8061,0.0207558005406499,8061,0.0498894011707322,8061,0.112089275719122,8061,0.480999740769773
"1009_d","10m",6872,0.0531780191941666,0.0525218341499567,0.0129341980283088,6872,0.01944537127321,6872,0.044236074698217,6872,0.0991827859859452,6872,0.429569287606883
"101_a","10m",8757,0.060077098810715,0.0578553192317486,0.0161801494076308,8757,0.0213146281701593,8757,0.0496429248696047,8757,0.109987099070586,8757,0.457936264009859
"101_b","10m",9262,0.0660083715831473,0.0658688768744469,0.0158999913517444,9262,0.0227214065004438,9262,0.0539108833318729,9262,0.124994496451378,9262,0.536800247382085
"101_c","10m",9272,0.0710041184212154,0.0700766369700432,0.0173448404529746,9272,0.0268298442703764,9272,0.0590145716992631,9272,0.123684930468312,9272,0.505197486231382
"101_d","10m",7769,0.0721635463356124,0.0737756490707397,0.019818728929784,7769,0.0271386168692762,7769,0.0598272410156202,7769,0.122057097459566,7769,0.479655231407253
"1010_a","10m",7474,0.0527727934049633,0.0531399287283421,0.0110611622144954,7474,0.0179717098635151,7474,0.0427483603824001,7474,0.108400863995685,7474,0.493179024340919
"1010_b","10m",7449,0.0603428287445351,0.0565660111606121,0.0195362259013433,7449,0.0190476403844557,7449,0.0478942034780152,7449,0.11227401885149,7449,0.477275082803277
"1010_c","10m",8354,0.0587819048785688,0.0559584256261587,0.0181417594236251,8354,0.017263213138429,8354,0.0468442227932357,8354,0.10844436879046,8354,0.465213910421334
"1010_d","10m",7187,0.0493253825743726,0.0487935915589333,0.0102243723806474,7187,0.0164545434461947,7187,0.0397226391319993,7187,0.0984019399902239,7187,0.441467831125383
"1011_a","10m",7687,0.0504760921899924,0.0484276041388512,0.0119063227672448,7687,0.0178381042504991,7687,0.0410561923707887,7687,0.100619983999926,7687,0.434801094059603
"1011_b","10m",8671,0.0730709442165316,0.070257693529129,0.0219418879520261,8671,0.0206694810705459,8671,0.0582088295087692,8671,0.117157886292196,8671,0.456425599495574
"1011_c","10m",8880,0.0661900182135051,0.0675214938819408,0.0145335040197884,8880,0.0213493361115375,8880,0.0534993073425077,8880,0.115817754087056,8880,0.468641871006757
"1011_d","10m",8415,0.0609416067130992,0.0629745423793793,0.0133528997062374,8415,0.0197739481828325,8415,0.0491159474163253,8415,0.117018148308593,8415,0.498865328019245
"1012_a","10m",9103,0.0513533801973966,0.0487057119607925,0.0128177629691649,9103,0.0206774407205796,9103,0.0427305212307268,9103,0.102900215492798,9103,0.450338073738045
"1012_b","10m",9167,0.0571487398373758,0.0554868243634701,0.0129960077748691,9167,0.0224444099339687,9167,0.0472843747394331,9167,0.110952848816685,9167,0.474544695138515
"1012_c","10m",9377,0.071757417808834,0.0683240815997124,0.0199856546989186,9377,0.0331391830043386,9377,0.0611120274202161,9377,0.115497720592877,9377,0.413631056934004
"1012_d","10m",9424,0.0656312028221242,0.0665374025702477,0.0167326258984164,9424,0.0234605000724437,9424,0.0537724546161694,9424,0.110669455554431,9424,0.437450945507988
"1013_a","10m",9499,0.0826217308556162,0.0808494538068771,0.0192844235533531,9499,0.0282189750981516,9499,0.0663329082569152,9499,0.138345999305625,9499,0.521176092947442
"1013_b","10m",8090,0.070055574766039,0.0708458200097084,0.0147828689586264,8090,0.0266966669476935,8090,0.0582044472684385,8090,0.114950226509431,8090,0.43127630895449
"1013_c","10m",5916,0.0609658699267953,0.0634431466460228,0.0135456471184462,5916,0.0194269448670353,5916,0.0494169658591031,5916,0.110361454008809,5916,0.454478295067145
"1013_d","10m",9445,0.0704453095945576,0.0698418244719505,0.0151823863811729,9445,0.0278596502448229,9445,0.0588817222555349,9445,0.119455941175277,9445,0.464753904881617
"1014_a","10m",5412,0.0646268063856747,0.0655257739126682,0.0174851868549864,5412,0.0298352129625473,5412,0.0551593387842761,5412,0.103204495023869,5412,0.376823527955403
"1014_b","10m",5416,0.0583540227307499,0.0526078678667545,0.021415920269035,5416,0.0171428839662612,5416,0.0465576213682299,5416,0.104946200777729,5416,0.426034620883799
"1014_c","10m",3681,0.0400695594711266,0.0388552509248257,0.00692814549642229,3681,0.0134480194459064,3681,0.0328479790080226,3681,0.0756913833626864,3681,0.33724714830619
"1014_d","10m",4991,0.047020686080146,0.0441869981586933,0.012199627849447,4991,0.0168819072915584,4991,0.0390084627415303,4991,0.0884908839158725,4991,0.38801361571089
"1015_a","10m",5129,0.0445196621932001,0.0426340065896511,0.00999189786796985,5129,0.0168740465594558,5129,0.0373539777218896,5129,0.0815113398847702,5129,0.368895750518654
