"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_mean","Std PCA mean distance",1744,0.686815585420146,0.471715648376018,1555.46659094666,1.15356575576046e-243,0.000248056545668695,4.92169150003774,0.571235229893501,1.2970275477125e-151
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_convex","Std PCA convex hull",1744,0.782631359092395,0.612511844234809,2753.62128308152,0,0.169227328047439,576.143196242477,0.732217288792629,6.88254685146423e-293
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.764530736010522,0.58450724630479,2450.61222851041,0,3.5189585447073,1898.77886801372,0.715936474193688,3.99641036211665e-274
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.78053728331849,0.609238450650209,2715.96164668353,0,0.443663591726097,1911.31101059047,0.720262224094567,5.58210772967747e-279
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_alpha","Std PCA alpha hull",1744,0.609014052826284,0.370898116539896,1027.0268393712,1.52153967779439e-177,0.07470602252198,350.94742758943,0.633553676414265,2.35196352689624e-196
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_rao","Std PCA Rao's Q",1744,0.679896327782778,0.462259016532507,1497.47784073874,5.99548320880193e-237,0.0836192813777075,-76.8882616096882,0.646335166229063,7.61159458240056e-207
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_mean","Std PCA mean distance",1744,0.664341238315131,0.441349280926082,1376.22743715024,1.65159366056765e-222,0.00100786687387521,4.18790221534276,0.550417261998457,1.04232400294214e-138
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_convex","Std PCA convex hull",1744,0.81406233777565,0.662697489784757,3422.50351611192,0,0.739387874724266,-60.887147080921,0.76292128146364,0
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.769736253017807,0.592493899209894,2532.78262686735,0,14.8820428942546,-10049.5872677551,0.728798588586886,7.78364178048691e-289
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.803868975860841,0.646205330351557,3181.75987951142,0,1.9193174683857,291.60221207406,0.74335862868494,1.51819552954826e-306
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",1744,0.55312606473188,0.305948443485776,767.899997557747,2.45564439479779e-140,0.554574069240307,-160.415014136488,0.864492231205745,0
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance",1744,0.800975837422949,0.641562292135394,3117.97974481527,0,0.00990610835952653,1.41664840442772,0.872790784976496,0
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_convex","Std PCA convex hull",1744,0.549834029605077,0.302317460111756,754.837602212371,2.32562949848882e-138,4.07115817488883,-343.484508037495,0.637449158601004,1.68673603885955e-199
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.558944556308915,0.31241901702737,791.519749875547,6.95853182493081e-144,88.0969840579575,-19108.3344367882,0.683097336187819,4.94513916958544e-240
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.566721438651306,0.321173189027005,824.192100608267,9.76195629770444e-149,11.0306953307789,-695.380881565953,0.653476204517266,6.27916269737717e-213
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance",1744,0.907006581593872,0.8226609390546,8080.99100217034,0,0.0111881598482905,5.23858771748134,0.971403473949047,0
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_convex","Std PCA convex hull",1744,0.647184105507733,0.418847266421845,1255.49084767186,1.4683147652761e-207,4.77945931209229,1201.23694028771,0.737428651241,3.44217164687016e-299
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.655622388701819,0.429840716567079,1313.28656748592,8.6508816926607e-215,103.064867884469,14369.8303421481,0.773244620884406,0
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.649741905259227,0.422164543449891,1272.69904668084,9.9935440096033e-210,12.6135894140858,3538.18652429869,0.755337555670187,4.84184332924422e-322
"10m","spec_spca_mean","Std PCA mean distance","spec_spca_convex","Std PCA convex hull",1744,0.642632792025842,0.41297690538693,1225.51527492836,9.36927288920017e-204,384.738444439276,-746.184161697277,0.615625728305374,1.89424635088708e-182
