quad_id,scale,elev_mean,tri5_mean,tri11_mean,tri21_mean,Name,sub_id
10_a,10m,237.89274111351418,1.8036786868723371,8.451447358014232,28.792362292619693,10,10_a
10_b,10m,239.47879027497666,1.5330285478457824,7.266534816304011,28.52000961481812,10,10_b
10_c,10m,240.9541853857131,1.8712000759952765,8.545319384489193,30.711351369417685,10,10_c
10_d,10m,239.55797878173553,2.0108379713041376,8.907080269593857,30.176758643950063,10,10_d
109_a,10m,231.75869418476654,2.570511643843201,11.589592898409832,37.12349258819814,109,109_a
109_b,10m,233.8542982035711,1.8189702376820631,8.754978369628303,33.817036475415065,109,109_b
109_c,10m,235.29809260627883,1.1135018517033959,5.816104369766299,23.989131426031268,109,109_c
109_d,10m,233.79602613627293,2.1858891351433285,9.587903778722266,33.06854091845691,109,109_d
208_a,10m,226.47655728757002,1.5376623837533896,7.4862550207452365,27.188361052613327,208,208_a
208_b,10m,227.44456255810488,1.2332738126427665,5.929408255585903,22.927742057840685,208,208_b
208_c,10m,228.73646877213704,1.075422880158478,5.202893894743158,20.597264095226823,208,208_c
208_d,10m,227.70992855426627,1.2978026842091643,6.181333212751168,23.30074598422146,208,208_d
307_a,10m,220.69646992243344,1.2750259183243764,5.909125557819737,20.015735013779196,307,307_a
307_b,10m,221.7452286308634,1.234840247389378,5.987857746674741,22.258420323730153,307,307_b
307_c,10m,223.2825209775737,1.5810985897433598,7.506946565885935,26.09714072104708,307,307_c
307_d,10m,221.88786858070213,1.3493358824894035,6.143864693284244,22.37513464956558,307,307_d
406_a,10m,216.591781681645,1.3236113666147387,6.228776642290906,23.215530908194644,406,406_a
406_b,10m,217.90959176970057,0.9788691479809926,4.729772995670981,17.551158814249632,406,406_b
406_c,10m,218.75178696762177,1.0087882854782564,4.677867448561514,17.656158192188865,406,406_c
406_d,10m,217.67569238630125,1.4947222419492967,6.822227493388168,22.977861040753297,406,406_d
505_a,10m,210.5078700457222,1.6419587320880675,7.426526514218912,25.257202639716876,505,505_a
505_b,10m,212.2494728876443,1.8944683002421498,8.855142118362227,31.810953390346796,505,505_b
505_c,10m,213.7044092524406,1.9468292372152332,8.608289248635154,29.72772836606022,505,505_c
505_d,10m,211.858845911781,2.057372007753042,8.37216676594356,27.754785227950812,505,505_d
604_a,10m,207.8324002773054,0.6584402234721438,2.6699695491423276,8.694499820156022,604,604_a
604_b,10m,208.134384150604,1.2833321996455032,5.180614774437817,14.252285121204794,604,604_b
604_c,10m,208.63236984750452,0.5732669957152479,2.9230668452208737,12.871883656356227,604,604_c
604_d,10m,207.9503217671224,1.1094864463037681,4.578403342573352,12.899585112502868,604,604_d
703_a,10m,206.74311782875003,1.3334027127334827,4.514432832775022,13.110464259407701,703,703_a
703_b,10m,206.95709369603975,0.9197859263878617,4.069992616556314,17.936417068857875,703,703_b
703_c,10m,207.1496707920854,0.6086216869827081,2.6494658698034605,8.054140355203824,703,703_c
703_d,10m,206.83924483569777,0.9640172047841438,3.6700104040858696,10.828313240188134,703,703_d
802_a,10m,206.2558526876923,2.443825763997329,9.991660838159929,27.04322029050225,802,802_a
802_b,10m,207.52324962708076,1.7090451887578058,7.534334571740759,21.919593012423448,802,802_b
802_c,10m,207.93643448787853,2.0670625201523936,8.707789956303117,23.278794250952064,802,802_c
802_d,10m,206.24034428109726,2.9376674278488073,11.28267196134462,31.115380867308566,802,802_d
901_a,10m,207.74438360055206,2.436652774902946,11.113206277265054,36.38486608583673,901,901_a
901_b,10m,205.3246927147399,2.797689033555931,12.391039332761821,40.651912676364354,901,901_b
901_c,10m,206.97518092973718,2.2615028782090616,9.821879596873577,30.579698760351803,901,901_c
901_d,10m,208.94349775817076,1.4974953210299078,7.084952511882175,26.04352859871523,901,901_d
1000_a,10m,208.17806461371055,1.2731710173537543,6.171894996865934,22.7141888046294,1000,1000_a
1000_b,10m,206.89677435103442,1.5382396789401847,7.882146265888712,31.896793946645424,1000,1000_b
1000_c,10m,208.19798388711172,1.667131887934282,7.725591183427809,28.77963240826283,1000,1000_c
1000_d,10m,209.3553191385006,1.363639468900183,5.917166595634392,21.11417091932481,1000,1000_d
11_a,10m,241.01921644184245,1.5104841718501127,7.544473040905074,29.90647034012997,11,11_a
11_b,10m,242.71160727764362,1.7531340802164213,8.518314342155168,32.01042593607465,11,11_b
11_c,10m,244.63368391929671,2.5378265894317145,11.730212577682762,40.820201973633964,11,11_c
11_d,10m,242.69905320970219,1.9957864409744668,9.312435375451388,33.52711046846259,11,11_d
110_a,10m,235.27223116569047,1.393861537140397,6.575928093989858,26.005476052048337,110,110_a
110_b,10m,236.3537586386527,1.448704947082405,6.284456599208973,23.31137402334419,110,110_b
110_c,10m,237.63344792970796,1.7639025037404312,8.056052093668267,28.646251143745722,110,110_c
110_d,10m,236.23906663440604,1.1254269176458973,5.426999875010905,21.84289221330846,110,110_d
209_a,10m,228.7665104998275,1.3267496881634413,6.300073536987388,22.90384468853537,209,209_a
209_b,10m,229.94302567675052,1.4296809439978442,6.963415425203299,27.43795152136083,209,209_b
209_c,10m,231.60945304611573,2.2042100671425287,9.994866490263579,33.63461040263525,209,209_c
209_d,10m,229.88810002146053,1.3572893074651435,6.423674922453209,25.665464459384648,209,209_d
308_a,10m,223.14065771631465,1.7039261615399908,7.341097280945219,24.90248993538845,308,308_a
308_b,10m,224.7821241912927,1.6857769502561295,7.9006419000335715,27.89767299303589,308,308_b
308_c,10m,226.01188997745172,1.7834949550971442,8.096597133290308,27.198216815485967,308,308_c
308_d,10m,224.3128542155967,1.5254635922460844,7.134201187147959,26.588824915115527,308,308_d
407_a,10m,218.6887886962384,1.8625706911773148,7.4927775335841424,22.744566164850646,407,407_a
407_b,10m,219.84213784014725,0.9992287147523463,4.9935898137154435,19.086883258618315,407,407_b
407_c,10m,220.8710841257291,1.254492931813054,5.146534418014893,18.50463816063076,407,407_c
407_d,10m,219.9009005933642,1.5400494652042342,6.244883994646896,19.81183224394767,407,407_d
506_a,10m,213.3165613520127,2.4960258120940066,9.049560900261348,27.74282080354788,506,506_a
506_b,10m,214.9878298724208,1.9998970458097356,8.539539998161057,27.531253011654123,506,506_b
506_c,10m,216.01244495726516,2.3285276234021404,8.414009237460537,25.842369259638637,506,506_c
506_d,10m,214.87239647607484,1.4972128669430573,6.8496105685654864,24.415681487946603,506,506_d
605_a,10m,208.8809476734203,0.8471625070824341,3.9177838977226576,13.71350842418567,605,605_a
605_b,10m,209.42100940807364,1.106933993043406,4.9729607430016545,17.760355511523773,605,605_b
605_c,10m,210.610941119918,1.4404278142357128,6.522482743647319,22.52019894808964,605,605_c
605_d,10m,209.77506112123658,0.9748436209666772,4.4499214557000455,16.478965329207828,605,605_d
704_a,10m,207.01921631127678,0.9423626832564681,3.907599190158908,12.310407848843994,704,704_a
704_b,10m,207.55726290907086,0.9116011247703618,3.3903436605449313,9.094029523576829,704,704_b
704_c,10m,207.7434002985201,1.011706708902155,4.4036119512082745,12.722302974662506,704,704_c
704_d,10m,207.45328780508842,1.286036663831709,5.1655350654263765,14.443545876789768,704,704_d
803_a,10m,207.20555419752716,2.501927981805096,10.043810496042145,27.170091861619824,803,803_a
803_b,10m,207.61946003241223,2.526354596890553,10.16546326890274,22.526960122623915,803,803_b
803_c,10m,207.7915507408622,1.2859020042231102,5.454775309940086,16.004629919751327,803,803_c
803_d,10m,207.87395536632948,1.922522790514051,8.173137683453627,24.654008442475995,803,803_d
902_a,10m,209.64064602446018,1.3683659114206859,5.723405465390171,20.119847829791887,902,902_a
902_b,10m,208.12895070582016,1.8687071005699616,8.507091773636517,27.7993389105997,902,902_b
902_c,10m,208.2540751256212,2.4945173731619317,10.301912991335936,30.053927778378043,902,902_c
902_d,10m,210.4019553682434,1.3111668491438488,6.1951364576292045,23.08770929835236,902,902_d
1001_a,10m,210.5083474005622,1.1416731937483742,5.105146173206936,18.457708152269664,1001,1001_a
1001_b,10m,209.65617811926077,1.2384186652772897,6.239391348205025,23.962509826079792,1001,1001_b
1001_c,10m,210.18490499339083,1.0133833783039083,4.485877593616263,17.35830418730303,1001,1001_c
1001_d,10m,211.28496591478253,1.1238045598920887,5.569463524997519,20.68525879030429,1001,1001_d
1100_a,10m,210.35587314919638,1.556840371462064,6.692264226779245,22.278917396590167,1100,1100_a
1100_b,10m,209.61533437116222,1.427581902087853,6.357785594587004,22.036511850599684,1100,1100_b
1100_c,10m,210.49352644428552,1.3343608918103746,5.948101075379871,21.082289053821178,1100,1100_c
