term,estimate,std.error,statistic,p.value,conf.low,conf.high,scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd
(Intercept),-0.04464229856347406,0.028051683466670377,-1.5914302831955107,0.11173271718637802,-0.09966893534778545,0.010384338220837327,10m,spec_rao_q,Environment,NA,1440,0.004290698906601257,0.0029048822036181754,4266.182382659567,4287.2719762298475,1.0625160946158096
env_elev_z,-0.041410866775240016,0.03143535817041231,-1.3173340208420747,0.18793668948546022,-0.10307497468103667,0.02025324113055664,10m,spec_rao_q,Environment,NA,1440,0.004290698906601257,0.0029048822036181754,4266.182382659567,4287.2719762298475,1.0625160946158096
env_tri11_z,-0.04826548043299042,0.02693019112775511,-1.7922442586471836,0.07330414834481248,-0.10109217967475821,0.00456121880877737,10m,spec_rao_q,Environment,NA,1440,0.004290698906601257,0.0029048822036181754,4266.182382659567,4287.2719762298475,1.0625160946158096
(Intercept),-0.04708950411819582,0.029321810710377618,-1.6059548499005156,0.10850338698763817,-0.10460760936474689,0.01042860112835526,10m,spec_rao_q,Biodiversity,phy_faith,1440,6.506153204971134e-5,-6.303035155637016e-4,4270.280590739628,4286.097785917338,1.0643979954324412
phy_faith_z,-0.011500567172167336,0.03759789621026895,-0.3058832629317764,0.7597378053155459,-0.08525316630840611,0.06225203196407143,10m,spec_rao_q,Biodiversity,phy_faith,1440,6.506153204971134e-5,-6.303035155637016e-4,4270.280590739628,4286.097785917338,1.0643979954324412
(Intercept),-0.04969088865473183,0.029312551441838624,-1.6952085782545232,0.09025265170497818,-0.1071908982419165,0.007809120932452847,10m,spec_rao_q,Biodiversity + environment,phy_faith,1440,0.004536186897175385,0.002456527120498153,4267.827312871111,4294.189304833961,1.062754953949556
phy_faith_z,-0.022559927783877158,0.037910376561733745,-0.5950858268880628,0.551879861617679,-0.09692558032963663,0.05180572476188231,10m,spec_rao_q,Biodiversity + environment,phy_faith,1440,0.004536186897175385,0.002456527120498153,4267.827312871111,4294.189304833961,1.062754953949556
env_elev_z,-0.04384280088793697,0.03170689458465894,-1.3827529142242099,0.1669556226605105,-0.1060395955345986,0.018353993758724672,10m,spec_rao_q,Biodiversity + environment,phy_faith,1440,0.004536186897175385,0.002456527120498153,4267.827312871111,4294.189304833961,1.062754953949556
env_tri11_z,-0.04868450858586885,0.026945447258703178,-1.8067804968479086,0.07100575708335206,-0.10154116552958893,0.004172148357851235,10m,spec_rao_q,Biodiversity + environment,phy_faith,1440,0.004536186897175385,0.002456527120498153,4267.827312871111,4294.189304833961,1.062754953949556
(Intercept),-0.04091026688138551,0.0415152384997276,-0.9854277214775952,0.3245797892311991,-0.1223471836171545,0.04052664985438349,10m,spec_rao_q,Biodiversity,phy_afaith,1440,9.439076293686008e-6,-6.859646517478613e-4,4270.360690059661,4286.177885237371,1.0644275991620569
phy_afaith_z,0.012705820858228587,0.10905773833450912,0.11650544979446073,0.9072682353107755,-0.20122348021508635,0.2266351219315435,10m,spec_rao_q,Biodiversity,phy_afaith,1440,9.439076293686008e-6,-6.859646517478613e-4,4270.360690059661,4286.177885237371,1.0644275991620569
(Intercept),-0.05242236503016183,0.04173899824889554,-1.2559564730700976,0.20933605337610195,-0.1342983083179031,0.029453578257579438,10m,spec_rao_q,Biodiversity + environment,phy_afaith,1440,0.004334657446637145,0.002254576647431006,4268.118808185659,4294.480800148509,1.0628625247021632
phy_afaith_z,-0.027721027357375756,0.11009489120200538,-0.25179213181211463,0.8012377687720281,-0.2436850764841169,0.18824302176936542,10m,spec_rao_q,Biodiversity + environment,phy_afaith,1440,0.004334657446637145,0.002254576647431006,4268.118808185659,4294.480800148509,1.0628625247021632
env_elev_z,-0.04206489683478451,0.0315527057753504,-1.3331629031842473,0.18268980465420906,-0.10395923203737256,0.019829438367803542,10m,spec_rao_q,Biodiversity + environment,phy_afaith,1440,0.004334657446637145,0.002254576647431006,4268.118808185659,4294.480800148509,1.0628625247021632
env_tri11_z,-0.048969893439443364,0.027083846545846918,-1.8080848802827267,0.0708024265383917,-0.10209803682655322,0.004158249947666497,10m,spec_rao_q,Biodiversity + environment,phy_afaith,1440,0.004334657446637145,0.002254576647431006,4268.118808185659,4294.480800148509,1.0628625247021632
(Intercept),-0.0665005527393977,0.029670538426896365,-2.2412991561728757,0.02515876112966173,-0.12470272752378314,-0.00829837795501226,10m,spec_rao_q,Biodiversity,sp_shannon,1440,0.0034917343027261686,0.0027987521986250208,4265.33738611947,4281.15458129718,1.0625726397918533
sp_shannon_z,-0.07987805236039444,0.035585074715528645,-2.244706608007688,0.024938487669784612,-0.14968227055520594,-0.010073834165582926,10m,spec_rao_q,Biodiversity,sp_shannon,1440,0.0034917343027261686,0.0027987521986250208,4265.33738611947,4281.15458129718,1.0625726397918533
(Intercept),-0.06388544920997906,0.029688923994222686,-2.1518277059286772,0.03157721854021996,-0.1221237577273465,-0.005647140692611616,10m,spec_rao_q,Biodiversity + environment,sp_shannon,1440,0.006955514065038959,0.00488090859302992,4264.3233467650725,4290.6853387279225,1.0614627341816893
sp_shannon_z,-0.07035449082297139,0.035839786293777105,-1.9630276320924132,0.049835738388320026,-0.14065843756687077,-5.0544079072012416e-5,10m,spec_rao_q,Biodiversity + environment,sp_shannon,1440,0.006955514065038959,0.00488090859302992,4264.3233467650725,4290.6853387279225,1.0614627341816893
env_elev_z,-0.03963171221404978,0.03141726943576782,-1.2614626581433588,0.20734708169539007,-0.10126037314260189,0.02199694871450234,10m,spec_rao_q,Biodiversity + environment,sp_shannon,1440,0.006955514065038959,0.00488090859302992,4264.3233467650725,4290.6853387279225,1.0614627341816893
env_tri11_z,-0.04211675305536138,0.027085217998718304,-1.5549719059803906,0.12017311068365619,-0.09524758670822343,0.01101408059750067,10m,spec_rao_q,Biodiversity + environment,sp_shannon,1440,0.006955514065038959,0.00488090859302992,4264.3233467650725,4290.6853387279225,1.0614627341816893
(Intercept),-0.17441560150443178,0.026027139965351297,-6.701297251124136,2.957085459391186e-11,-0.2254708310255732,-0.12336037198329036,10m,spec_alpha,Null,NA,1439,0,0,4049.9711471986493,4060.514554612424,0.9873175220073048
(Intercept),-0.17723682506305882,0.026039209608361036,-6.806536286191618,1.4642125257080874e-11,-0.2283157905053641,-0.12615785962075354,10m,spec_alpha,Environment,NA,1439,0.004320347544397895,0.002933607081367806,4047.7406985182884,4068.827513345838,0.985868257496414
env_elev_z,0.012230360236705467,0.02917947184336157,0.4191426185627796,0.6751745932876947,-0.04500859810069387,0.0694693185741048,10m,spec_alpha,Environment,NA,1439,0.004320347544397895,0.002933607081367806,4047.7406985182884,4068.827513345838,0.985868257496414
env_tri11_z,-0.062391101067116546,0.025015743503380213,-2.4940734245490663,0.012740374269004515,-0.11146241763704975,-0.013319784497183344,10m,spec_alpha,Environment,NA,1439,0.004320347544397895,0.002933607081367806,4047.7406985182884,4068.827513345838,0.985868257496414
(Intercept),-0.16741349834416352,0.027206467476744024,-6.1534448927361804,9.813368301113631e-10,-0.2207821457483641,-0.11404485093996294,10m,spec_alpha,Biodiversity,phy_faith,1439,5.440688323437378e-4,-1.5144677737644052e-4,4051.1880190917873,4067.0031302124494,0.9873922822053418
phy_faith_z,0.030850937761751913,0.03488147864202735,0.8844504006943332,0.3766010820636151,-0.03757313589554224,0.09927501141904607,10m,spec_alpha,Biodiversity,phy_faith,1439,5.440688323437378e-4,-1.5144677737644052e-4,4051.1880190917873,4067.0031302124494,0.9873922822053418
(Intercept),-0.1708152874487926,0.02720244366078515,-6.279409658149158,4.494188452281415e-10,-0.22417610436258878,-0.11745447053499641,10m,spec_alpha,Biodiversity + environment,phy_faith,1439,0.0047832907401424716,0.0027026983166027474,4049.0714770726186,4075.4299956070554,0.9859824085924168
phy_faith_z,0.028739621133879362,0.035176292588100615,0.8170167752016413,0.4140544588267798,-0.04026284540576039,0.0977420876735191,10m,spec_alpha,Biodiversity + environment,phy_faith,1439,0.0047832907401424716,0.0027026983166027474,4049.0714770726186,4075.4299956070554,0.9859824085924168
env_elev_z,0.015339340421170383,0.029429898756973074,0.5212162144300923,0.602296582981841,-0.04239089363226065,0.07306957447460141,10m,spec_alpha,Biodiversity + environment,phy_faith,1439,0.0047832907401424716,0.0027026983166027474,4049.0714770726186,4075.4299956070554,0.9859824085924168
env_tri11_z,-0.061872877721732895,0.02502667913108041,-2.4722767810170034,0.013540786303121126,-0.110965674667732,-0.012780080775733803,10m,spec_alpha,Biodiversity + environment,phy_faith,1439,0.0047832907401424716,0.0027026983166027474,4049.0714770726186,4075.4299956070554,0.9859824085924168
(Intercept),-0.12318800644839402,0.038479235233186075,-3.2014151451261594,0.0013974696436033051,-0.19866949772610565,-0.047706515170682376,10m,spec_alpha,Biodiversity,phy_afaith,1439,0.002265406152285493,0.0015710884112640766,4048.7075296385196,4064.5226407591817,0.9865416355824403
phy_afaith_z,0.18259012326362256,0.10108422253939864,1.8063167394145623,0.07107801848517131,-0.015698325446019817,0.3808785719732649,10m,spec_alpha,Biodiversity,phy_afaith,1439,0.002265406152285493,0.0015710884112640766,4048.7075296385196,4064.5226407591817,0.9865416355824403
(Intercept),-0.13257201176923444,0.03869957215809326,-3.425671251032412,6.305916687863849e-4,-0.20848580871782282,-0.05665821482064606,10m,spec_alpha,Biodiversity + environment,phy_afaith,1439,0.006004940323986426,0.003926901871702193,4047.3039890659447,4073.6625076003816,0.9853770656254244
phy_afaith_z,0.1591803659691395,0.10207236884983273,1.5594853706522984,0.11910204303143573,-0.04104668179441384,0.35940741373269286,10m,spec_alpha,Biodiversity + environment,phy_afaith,1439,0.006004940323986426,0.003926901871702193,4047.3039890659447,4073.6625076003816,0.9853770656254244
