scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd,delta_aic
20m,spec_pca_mean,Biodiversity + environment,sp_shannon,360,0.023497142779601833,0.015268186117632143,917.1688431064857,936.5993632637364,0.8577906933755771,4.31519377425127
20m,spec_rao_q,Null,NA,360,0,0,882.8404967243089,890.6127047872092,0.8212432645174677,2.5713189479432685
20m,spec_rao_q,Environment,NA,360,0.014297636067588151,0.008775493972728698,881.656197173147,897.2006132989476,0.8176319165595521,1.3870193967813975
20m,spec_rao_q,Biodiversity,phy_faith,360,0.007613548349679466,0.004841519155125429,882.0891321534974,893.7474442478479,0.819252819902325,1.8199543771318076
20m,spec_rao_q,Biodiversity + environment,phy_faith,360,0.017304209644008927,0.009023065343256254,882.556452868997,901.9869730262477,0.817529803015182,2.2872750926313756
20m,spec_rao_q,Biodiversity,phy_afaith,360,0.012617827377023721,0.009859776615507077,880.2691777763656,891.927489870716,0.8171845977804741,0
20m,spec_rao_q,Biodiversity + environment,phy_afaith,360,0.020741948891291467,0.012489774303296786,881.2948662104133,900.725386367664,0.8160985785402144,1.0256884340476518
20m,spec_rao_q,Biodiversity,sp_shannon,360,0.010969178556309044,0.00820652263048871,880.869774630262,892.5280867246124,0.8178665467502121,0.6005968538963771
20m,spec_rao_q,Biodiversity + environment,sp_shannon,360,0.023405055635248417,0.015175322958017379,880.3145072340228,899.7450273912735,0.8149881269805076,0.04532945765720342
20m,spec_alpha,Null,NA,360,0,0,995.9386587352795,1003.7108667981798,0.9609286386598412,14.185581485329521
20m,spec_alpha,Environment,NA,360,0.02497106340308254,0.01950871641934626,990.8349319843303,1006.3793481101309,0.9515092300909009,9.081854734380272
20m,spec_alpha,Biodiversity,phy_faith,360,0.012995256945442513,0.010238260456463366,993.2297024831114,1004.8880145774618,0.9559968641441413,11.476625233161371
20m,spec_alpha,Biodiversity + environment,phy_faith,360,0.03056099600340326,0.022391566194443158,990.7650791080473,1010.195599265298,0.9501093821386694,9.012001858097278
20m,spec_alpha,Biodiversity,phy_afaith,360,0.04396422833424459,0.041293737351937976,981.75307724995,993.4113893443005,0.9408793113240846,0
20m,spec_alpha,Biodiversity + environment,phy_afaith,360,0.05386626127116035,0.04589322414704089,982.0049737940419,1001.4354939512926,0.9386196176616234,0.2518965440918919
20m,spec_alpha,Biodiversity,sp_shannon,360,0.012588082471292549,0.009829948623446882,993.3781846304698,1005.0364967248203,0.9561940351232222,11.625107380519808
20m,spec_alpha,Biodiversity + environment,sp_shannon,360,0.034102923476039146,0.02596334137050016,989.4473799997799,1008.8779001570306,0.9483721413662122,7.694302749829831
50m,spec_sa,Null,NA,80,0,0,177.72280329266303,182.4868565620108,0.7211691088751857,18.274847289283883
50m,spec_sa,Environment,NA,80,0.22486652149461267,0.20473318439057653,161.34520056232716,170.8733071010227,0.6431222661546192,1.8972445589480174
50m,spec_sa,Biodiversity,phy_faith,80,0.02912115076931642,0.016673986035589783,177.35851628886007,184.5045961928817,0.7151314533073141,17.910560285480926
50m,spec_sa,Biodiversity + environment,phy_faith,80,0.225400717790322,0.19482443033467678,163.29004820776294,175.20018138113235,0.6471164056208089,3.842092204383789
50m,spec_sa,Biodiversity x elevation,phy_faith,80,0.22540714813098253,0.18409552936463502,165.28938408451893,179.58154389256222,0.6514135258311041,5.841428081139782
50m,spec_sa,Biodiversity,phy_afaith,80,0.05191024743982579,0.039755250612131254,175.45831485168782,182.60439475570945,0.706688600947331,16.01035884830867
50m,spec_sa,Biodiversity + environment,phy_afaith,80,0.2555962449092499,0.22621188615566767,160.1090665107551,172.01919968412452,0.634378042744676,0.6611105073759518
50m,spec_sa,Biodiversity x elevation,phy_afaith,80,0.2799506956956311,0.2415480661327314,159.44795600337915,173.74011581142244,0.6280600176244227,0
50m,spec_sa,Biodiversity,sp_shannon,80,0.002218533349171957,-0.010573536736095068,179.54512345745164,186.69120336147327,0.7249717375307935,20.09716745407249
50m,spec_sa,Biodiversity + environment,sp_shannon,80,0.22780353200188094,0.19732209247563937,163.04150176390533,174.95163493727475,0.6461119454860365,3.593545760526183
