"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points"
"sub50_34",182142,FALSE,"all_pixels",8.07654387486587,6.98585244490058,5.04398037508697,181.344318612217,"squared_euclidean_pc1_pc3",735.711724018573,"sampled_pixels",10000,1,2380.77181016107,26054.0961417941,6571.8401310344,"sampled_pixels",10000
"sub50_35",193953,FALSE,"all_pixels",8.71605791318978,7.8455743500503,4.95106088449371,200.965086083465,"squared_euclidean_pc1_pc3",792.290794544755,"sampled_pixels",10000,1,2581.70373504659,21278.2602451626,5510.51186981185,"sampled_pixels",10000
"sub50_36",174203,FALSE,"all_pixels",9.26729870498548,8.60453001267391,4.79780260383139,217.803205948666,"squared_euclidean_pc1_pc3",792.649015221292,"sampled_pixels",10000,1,2178.45560777646,23184.6912091211,5760.40856689998,"sampled_pixels",10000
"sub50_37",188112,FALSE,"all_pixels",7.67998985016128,6.94538541704738,4.31160884620868,155.144232234671,"squared_euclidean_pc1_pc3",633.604000584347,"sampled_pixels",10000,1,1731.50837028408,22008.5277827201,4954.37142409878,"sampled_pixels",10000
"sub50_38",172053,FALSE,"all_pixels",8.19114983010264,7.62315727833427,4.21196401327241,169.670946553609,"squared_euclidean_pc1_pc3",627.043640755838,"sampled_pixels",10000,1,1608.64258170873,17298.7145095989,4196.12477670607,"sampled_pixels",10000
"sub50_39",201042,FALSE,"all_pixels",9.74770200001624,8.97837254083403,5.12365210520947,242.538749195197,"squared_euclidean_pc1_pc3",889.934761404478,"sampled_pixels",10000,1,1843.59671772276,23556.5326512667,5070.74080185786,"sampled_pixels",10000
"sub50_4",144375,FALSE,"all_pixels",9.54714494913814,8.19587096378585,8.76582693014707,335.974332451929,"squared_euclidean_pc1_pc3",704.085166554205,"sampled_pixels",10000,1,4155.30484203523,43954.8068316224,9379.60781993374,"sampled_pixels",10000
"sub50_40",171408,FALSE,"all_pixels",8.35468334834966,7.43694937332253,5.27209621095241,195.19114030356,"squared_euclidean_pc1_pc3",693.426487633832,"sampled_pixels",10000,1,3426.72738736799,29630.1135387231,8144.43700776587,"sampled_pixels",10000
"sub50_41",183905,FALSE,"all_pixels",7.45467983819401,6.72365607138884,4.2594810157421,147.430662716553,"squared_euclidean_pc1_pc3",583.466798079118,"sampled_pixels",10000,1,1702.82013271727,11940.4578250673,4090.21471542303,"sampled_pixels",10000
"sub50_42",177583,FALSE,"all_pixels",7.36881845255225,6.66969453808185,4.05990910790497,141.564509066664,"squared_euclidean_pc1_pc3",537.90830984249,"sampled_pixels",10000,1,1567.81514319577,12253.4924663382,3446.58809038716,"sampled_pixels",10000
"sub50_43",180378,FALSE,"all_pixels",9.50787144425239,8.74169305357134,5.19314649662014,234.736480846523,"squared_euclidean_pc1_pc3",818.99178861154,"sampled_pixels",10000,1,2819.81173636625,29724.3111672085,6649.61183596007,"sampled_pixels",10000
"sub50_44",152090,FALSE,"all_pixels",9.41301037365591,8.02741365326987,7.75415739257402,297.462651650722,"squared_euclidean_pc1_pc3",787.054369198194,"sampled_pixels",10000,1,3415.18860054884,36774.6774569267,8378.58176299262,"sampled_pixels",10000
"sub50_45",196375,FALSE,"all_pixels",10.4262179092773,9.14412732631869,5.99051371457568,289.18418342551,"squared_euclidean_pc1_pc3",1115.17765462715,"sampled_pixels",10000,1,2448.04374909587,29809.9196407576,6723.12081346895,"sampled_pixels",10000
"sub50_46",178822,FALSE,"all_pixels",8.44881417953666,7.79428144104344,4.5105044215655,183.453994813807,"squared_euclidean_pc1_pc3",747.032833402404,"sampled_pixels",10000,1,1644.09796725913,13712.3942802634,3574.50232203786,"sampled_pixels",10000
"sub50_47",180256,FALSE,"all_pixels",8.95975823846277,8.00114211727471,5.07259775339118,212.016745822106,"squared_euclidean_pc1_pc3",827.63554313818,"sampled_pixels",10000,1,2203.00909116291,19833.0566144553,5081.38878144118,"sampled_pixels",10000
"sub50_48",141246,FALSE,"all_pixels",8.19969755091105,7.44674433925127,4.57829169396961,176.391292725122,"squared_euclidean_pc1_pc3",667.78745238426,"sampled_pixels",10000,1,1743.32159938544,16128.700783417,4497.48505318542,"sampled_pixels",10000
"sub50_49",206958,FALSE,"all_pixels",8.70893981480661,7.52202598419315,5.69081645394455,216.461736254982,"squared_euclidean_pc1_pc3",809.908438878047,"sampled_pixels",10000,1,2862.62891091705,27872.7049021552,7659.19450740564,"sampled_pixels",10000
"sub50_5",176981,FALSE,"all_pixels",8.34992517688133,7.50665048229816,4.71260332300246,183.859510107068,"squared_euclidean_pc1_pc3",730.241002440256,"sampled_pixels",10000,1,1662.15818067878,14903.2340805046,4253.61697224761,"sampled_pixels",10000
"sub50_50",192715,FALSE,"all_pixels",8.06160528526247,7.3143906141175,4.38550243263412,168.4440231274,"squared_euclidean_pc1_pc3",688.805571690684,"sampled_pixels",10000,1,1591.55679127179,14403.9343300047,3974.36881259992,"sampled_pixels",10000
"sub50_51",200631,FALSE,"all_pixels",8.64989995457275,7.74388964142732,4.81124307481178,195.937427545509,"squared_euclidean_pc1_pc3",791.09558662289,"sampled_pixels",10000,1,2004.02082989462,20707.236897502,5212.99233245982,"sampled_pixels",10000
"sub50_52",148734,FALSE,"all_pixels",6.78860824444591,6.20721388995432,3.75108033950735,120.311422015056,"squared_euclidean_pc1_pc3",550.382163640991,"sampled_pixels",10000,1,1285.01863741603,9615.69199769765,3100.11309880441,"sampled_pixels",10000
"sub50_53",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
"sub50_54",156070,FALSE,"all_pixels",8.90607938009587,7.90457584975894,5.10611050194228,210.780894654067,"squared_euclidean_pc1_pc3",881.277362906487,"sampled_pixels",10000,1,1924.66905897828,21456.8042427285,4902.33691806998,"sampled_pixels",10000
"sub50_55",175675,FALSE,"all_pixels",8.50972996080597,7.95166116651915,4.22561484665385,180.542446393766,"squared_euclidean_pc1_pc3",710.966080044197,"sampled_pixels",10000,1,1356.5624757558,12367.1516263296,3391.41064656596,"sampled_pixels",10000
"sub50_56",145500,FALSE,"all_pixels",8.28125135210263,7.62311335700733,4.28519449805724,173.883779274878,"squared_euclidean_pc1_pc3",684.839043644228,"sampled_pixels",10000,1,1597.90308050147,14449.4402635899,3880.08207897043,"sampled_pixels",10000
"sub50_57",194198,FALSE,"all_pixels",8.63447255746615,7.75051194217362,5.03636960819069,199.838009123461,"squared_euclidean_pc1_pc3",730.655342462845,"sampled_pixels",10000,1,2305.599752426,20745.6503462011,5116.23974318908,"sampled_pixels",10000
"sub50_58",189724,FALSE,"all_pixels",8.68510602861454,7.80531422429735,4.85990960884838,198.099327289111,"squared_euclidean_pc1_pc3",710.537938497567,"sampled_pixels",10000,1,3934.61697754847,30730.5388243142,7211.18181075931,"sampled_pixels",10000
"sub50_59",182287,FALSE,"all_pixels",7.70928342122102,6.84155172580193,4.55050643075033,160.280092097646,"squared_euclidean_pc1_pc3",663.688962911453,"sampled_pixels",10000,1,1904.51180245045,15842.1398634373,4121.42235003173,"sampled_pixels",10000
"sub50_6",154062,FALSE,"all_pixels",7.74816935538322,7.11922944136459,4.18923787025562,155.167456759927,"squared_euclidean_pc1_pc3",651.819270589639,"sampled_pixels",10000,1,1537.7866330129,15471.933661869,4013.78547842779,"sampled_pixels",10000
"sub50_60",164492,FALSE,"all_pixels",9.56047367529016,8.84703952828452,5.05670558237585,233.945545585617,"squared_euclidean_pc1_pc3",772.115142921148,"sampled_pixels",10000,1,2207.04159709482,20724.5519742935,5874.48999900148,"sampled_pixels",10000
"sub50_61",121379,FALSE,"all_pixels",7.53923347461518,6.6286928511558,4.65688165607111,157.05281895076,"squared_euclidean_pc1_pc3",619.234760806462,"sampled_pixels",10000,1,1321.28771344627,8433.0254886322,3016.98703487958,"sampled_pixels",10000
"sub50_62",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
"sub50_63",184856,FALSE,"all_pixels",8.60107429169193,7.48849658212875,5.38576659142316,205.969607669124,"squared_euclidean_pc1_pc3",842.553289577977,"sampled_pixels",10000,1,2505.78951818849,20219.3520470818,5929.26683010679,"sampled_pixels",10000
"sub50_64",159846,FALSE,"all_pixels",7.44132187897534,6.84530502091811,4.05823117756646,143.684817130339,"squared_euclidean_pc1_pc3",660.860401473738,"sampled_pixels",10000,1,1322.92653744243,9808.00744198986,2885.05335404818,"sampled_pixels",10000
"sub50_65",190561,FALSE,"all_pixels",8.27813210076682,7.45818203424909,4.45008074582207,176.66117160291,"squared_euclidean_pc1_pc3",633.765736627807,"sampled_pixels",10000,1,1209.82742237619,10779.9116581024,3195.93079681697,"sampled_pixels",10000
"sub50_66",194951,FALSE,"all_pixels",8.47325912583344,7.61728986259079,4.62747284743758,186.41903065369,"squared_euclidean_pc1_pc3",711.714312550698,"sampled_pixels",10000,1,1768.63903889309,17558.9037067089,5061.70542781263,"sampled_pixels",10000
"sub50_67",194915,FALSE,"all_pixels",8.34285686228557,7.48374778552501,4.768974161502,184.692516990882,"squared_euclidean_pc1_pc3",672.98614904933,"sampled_pixels",10000,1,2585.16040418613,25597.5122165093,6457.85535240614,"sampled_pixels",10000
"sub50_68",180561,FALSE,"all_pixels",7.94410095196495,7.31678531824717,4.09933733345479,159.826426879655,"squared_euclidean_pc1_pc3",618.264740118353,"sampled_pixels",10000,1,1318.84628182958,10952.473877893,3394.1676288004,"sampled_pixels",10000
"sub50_69",150307,FALSE,"all_pixels",7.49972836137089,6.93183688838322,3.8530705789808,142.183959217519,"squared_euclidean_pc1_pc3",642.553518524932,"sampled_pixels",10000,1,1372.58457262209,10824.7576566567,3230.22562556249,"sampled_pixels",10000
"sub50_7",186194,FALSE,"all_pixels",9.68731766597006,8.8519237049192,5.39930257165201,245.992870502536,"squared_euclidean_pc1_pc3",816.789734932608,"sampled_pixels",10000,1,2117.52274278946,23587.2350911245,5657.23220036887,"sampled_pixels",10000
"sub50_70",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
