"quad_id","n_pixels","n_pairs","method","spectral_entropy","exact_entropy","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"1302_a",6333,20050278,"bootstrap_mean",2.91483535236964,NA,2.91483535236964,0.00840235149045801,0.00288261615999245,2.91565998417166,2.89353301871916,2.93892138373658
"1302_b",7402,27391101,"bootstrap_mean",2.80746768541239,NA,2.80746768541239,0.00822588363095458,0.00293000117995883,2.80631510605246,2.79047336690317,2.82553890149893
"1302_c",7231,26140065,"bootstrap_mean",2.79844076483577,NA,2.79844076483577,0.00880241169037558,0.00314547007783178,2.79883991960845,2.77976101961288,2.8242634855234
"1302_d",6777,22960476,"bootstrap_mean",2.89993683510489,NA,2.89993683510489,0.00894226594505548,0.00308360714509564,2.90002676221961,2.87794980851187,2.91736243717782
"1303_a",6546,21421785,"bootstrap_mean",2.76298979815943,NA,2.76298979815943,0.207548460022842,0.0751173457683777,2.69587289661443,2.67491554353365,3.39617337156357
"1303_b",6956,24189490,"bootstrap_mean",2.76520135435899,NA,2.76520135435899,0.0816467647899406,0.0295265169971202,2.75581680230601,2.73958707876541,3.43534378604113
"1303_c",7660,29333970,"bootstrap_mean",2.74144243108567,NA,2.74144243108567,0.0111288907575851,0.00405950189994608,2.74202127147633,2.72100454932459,2.77115039205487
"1303_d",6527,21297601,"bootstrap_mean",2.75563800700419,NA,2.75563800700419,0.115273902841373,0.0418320194990685,2.73605373909561,2.71253608585131,3.42678098060905
"1304_a",6161,18975880,"bootstrap_mean",2.82701182538862,NA,2.82701182538862,0.00897580621580224,0.0031750154474746,2.8287507861931,2.80207174635354,2.84733189074149
"1304_b",8073,32582628,"bootstrap_mean",2.78623202414892,NA,2.78623202414892,0.0091908790264026,0.00329867683191605,2.78755920504731,2.76291658556173,2.80686949618034
"1304_c",8232,33878796,"bootstrap_mean",2.79486052390616,NA,2.79486052390616,0.00981785905850291,0.00351282612299423,2.79516653039146,2.77024588233385,2.82993329022909
"1304_d",7515,28233855,"bootstrap_mean",2.73237473913444,NA,2.73237473913444,0.0822737205657873,0.0301107016498951,2.72242552079353,2.70051956994177,3.40724894720221
"1305_a",8546,36512785,"bootstrap_mean",2.76520938377296,NA,2.76520938377296,0.0101679710369295,0.00367710709235911,2.76458930843712,2.74136497468742,2.79058685290054
"1305_b",8327,34665301,"bootstrap_mean",2.74653976696397,NA,2.74653976696397,0.00906730316396885,0.00330135513529879,2.7457717826704,2.72297409164034,2.769126243374
"1305_c",8027,32212351,"bootstrap_mean",2.94484543401492,NA,2.94484543401492,0.00901610135599688,0.00306165520670624,2.94588235581136,2.92554196870925,2.96673757550045
"1305_d",6533,21336778,"bootstrap_mean",3.03760644677829,NA,3.03760644677829,0.00948084545565095,0.00312115661517192,3.03724219410787,3.0170203338651,3.0624951467575
"1306_a",6059,18352711,"bootstrap_mean",2.94154832298667,NA,2.94154832298667,0.0816728858394854,0.0277652708273579,2.9495237824997,2.27254537191818,2.97759620827544
"1306_b",6770,22913065,"bootstrap_mean",3.00620665048156,NA,3.00620665048156,0.00834962406982643,0.00277746177844724,3.00607964564175,2.99121837576769,3.02144630040998
"1306_c",4846,11739435,"bootstrap_mean",2.92557595870369,NA,2.92557595870369,0.00769416631915092,0.00262996634774104,2.92566385804983,2.90691500260966,2.94517367543824
"1306_d",5446,14826735,"bootstrap_mean",2.88727855349903,NA,2.88727855349903,0.00782306939583272,0.0027094958975649,2.88713662100768,2.87158335712601,2.90333442304754
"1307_a",6569,21572596,"bootstrap_mean",2.81705583211164,NA,2.81705583211164,0.00901189136750077,0.00319904606247919,2.81721543658452,2.79696730102959,2.8418796537731
"1307_b",6194,19179721,"bootstrap_mean",2.85640025083779,NA,2.85640025083779,0.00809642395469235,0.0028344851014201,2.85563818932684,2.83479454365189,2.88280150329892
"1307_c",5895,17372565,"bootstrap_mean",2.80758046955472,NA,2.80758046955472,0.0814251676343763,0.0290018998626566,2.79733780910613,2.78016459864772,3.47538282206593
"1307_d",6233,19422028,"bootstrap_mean",2.83774008099247,NA,2.83774008099247,0.00830830470509472,0.00292778918011018,2.83745836295613,2.81687391909728,2.85473377793382
"1308_a",6666,22214445,"bootstrap_mean",2.79885690312544,NA,2.79885690312544,0.0100215478610499,0.00358058600632958,2.7982930515119,2.76878582906395,2.82181573004027
"1308_b",5872,17237256,"bootstrap_mean",2.8268791519056,NA,2.8268791519056,0.00786159740562015,0.00278101644363561,2.82781905321796,2.79763201023107,2.84714253155005
"1308_c",7253,26299378,"bootstrap_mean",2.70587650374967,NA,2.70587650374967,0.00820716976824617,0.00303309103607392,2.70537153200945,2.68318562825141,2.72339934160199
"1308_d",6378,20336253,"bootstrap_mean",2.85104561127043,NA,2.85104561127043,0.00980640739399664,0.00343958278157005,2.85197777449967,2.82954082338071,2.87657782789641
"1309_a",6410,20540845,"bootstrap_mean",2.77102846279311,NA,2.77102846279311,0.138514885931882,0.0499868145678531,2.7441136608795,2.71889132948299,3.42610096639986
"1309_b",7283,26517403,"bootstrap_mean",2.77656504950349,NA,2.77656504950349,0.0835919480501131,0.0301062451481413,2.76760347467946,2.73692464046232,3.4622754057906
"1309_c",6588,21697578,"bootstrap_mean",2.79991202316388,NA,2.79991202316388,0.0098631946673834,0.00352268020772955,2.80234168070522,2.77927402400557,2.81871438131461
