"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"1002_d",8618,FALSE,"all_pixels",8.85964490654642,8.01389852068577,4.70029877896121,201.167105831933,"squared_euclidean_pc1_pc3",794.974584011806,"all_pixels",8580,1,1310.5961154607,10431.778561173,3173.30459053116,"all_pixels",8580,8618,37130653,"bootstrap_mean",2.86247437923713,NA,2.86247437923713,0.0114827701112247,0.00401148397851685,2.86220668029722,2.83886571121284,2.88804224667603,"10m"
"1003_a",9162,FALSE,"all_pixels",8.43414312936123,7.61544998230646,4.61108834854139,184.789170794891,"squared_euclidean_pc1_pc3",691.512350503602,"all_pixels",8949,1,1452.47757942124,15973.4825174565,3856.72859217569,"all_pixels",8949,9162,41966541,"bootstrap_mean",2.86382297942568,NA,2.86382297942568,0.010233308452129,0.00357330342191096,2.86388682607838,2.84238230810968,2.88468555853625,"10m"
"1003_b",8560,FALSE,"all_pixels",8.31568034124757,7.35497214192212,4.65781937687313,181.686572779803,"squared_euclidean_pc1_pc3",634.830314734706,"all_pixels",8504,1,967.11597568158,10325.7643963335,2982.773199053,"all_pixels",8504,8560,36632520,"bootstrap_mean",2.80129208964044,NA,2.80129208964044,0.0819755530542893,0.0292634792913763,2.79107584109195,2.76994486042733,3.47350897185714,"10m"
"1003_c",7175,FALSE,"all_pixels",7.41112326828398,6.68421011934132,4.0333762849372,142.381210038406,"squared_euclidean_pc1_pc3",528.549947005455,"all_pixels",7152,1,976.664331638016,7644.20281039652,2503.8369370441,"all_pixels",7152,7175,25736725,"bootstrap_mean",2.83243877999138,NA,2.83243877999138,0.00849250373979953,0.00299830089878425,2.83120172937885,2.81594408912488,2.84930126060711,"10m"
"1003_d",9306,FALSE,"all_pixels",7.55074517272777,6.29585662533943,5.03229989380122,164.670147249965,"squared_euclidean_pc1_pc3",720.477146260135,"all_pixels",9279,1,1233.76995616879,12584.460076404,3380.13541938321,"all_pixels",9279,9306,43296165,"bootstrap_mean",2.85110823143384,NA,2.85110823143384,0.0101882989530643,0.00357345218983166,2.85159688666393,2.82655353789349,2.87513059082694,"10m"
"1004_a",9158,FALSE,"all_pixels",5.74640221205981,4.99686367150048,3.53669468171553,91.0559636623929,"squared_euclidean_pc1_pc3",542.84881915188,"all_pixels",9041,1,954.622264929271,7231.78856410547,2424.25912776334,"all_pixels",9041,9158,41929903,"bootstrap_mean",2.83609365992005,NA,2.83609365992005,0.00772015587040438,0.00272210892732717,2.83592593164017,2.81978670295551,2.8554448058766,"10m"
"1004_b",5435,FALSE,"all_pixels",7.90234062326873,7.2793028558641,3.7960856855398,153.709204950274,"squared_euclidean_pc1_pc3",457.489138033256,"all_pixels",5433,1,735.013208012735,6397.83212138579,2073.8004742474,"all_pixels",5433,5435,14766895,"bootstrap_mean",2.87904644764019,NA,2.87904644764019,0.00708329991183749,0.00246029372594642,2.87971225909167,2.86231722938852,2.89302767544951,"10m"
"1004_c",6893,FALSE,"all_pixels",7.9410871383243,7.44124500859224,4.22940706700051,161.892307994375,"squared_euclidean_pc1_pc3",529.908823197857,"all_pixels",6893,1,770.707606480991,6641.93274724357,2139.82052489202,"all_pixels",6893,6893,23753278,"bootstrap_mean",2.83064045208284,NA,2.83064045208284,0.0101457895606866,0.00358427350009115,2.83104106361077,2.80500592101366,2.84873267021229,"10m"
"1004_d",8100,FALSE,"all_pixels",7.58863771951747,6.88529713595498,4.06322206354843,148.190315464287,"squared_euclidean_pc1_pc3",637.278103967201,"all_pixels",8002,1,1032.65414685376,8176.64752108798,2578.73594601004,"all_pixels",8002,8100,32800950,"bootstrap_mean",2.92555255802296,NA,2.92555255802296,0.00883389303326901,0.00301956394837043,2.92562652353869,2.90350909548622,2.9447111469004,"10m"
"1005_a",7610,FALSE,"all_pixels",7.95068809919077,7.45449472755083,4.07242929680877,159.591884601739,"squared_euclidean_pc1_pc3",667.211585003105,"all_pixels",7517,1,980.697511663159,7453.91607195766,2462.24930206904,"all_pixels",7517,7610,28952245,"bootstrap_mean",2.86824792793487,NA,2.86824792793487,0.0107961212911732,0.00376401258274294,2.86906882886115,2.83885620761889,2.89214999537916,"10m"
"1005_b",8322,FALSE,"all_pixels",8.66646688000539,8.24115503786593,4.4239880672848,189.353933605624,"squared_euclidean_pc1_pc3",536.310798976739,"all_pixels",8235,1,852.521648218175,6628.73521015664,2274.33287003119,"all_pixels",8235,8322,34623681,"bootstrap_mean",2.80576929663546,NA,2.80576929663546,0.177224536393947,0.0631643295143566,2.75783298639433,2.73304576958245,3.44862299931714,"10m"
"1005_c",7573,FALSE,"all_pixels",7.98854771749075,7.43847505636352,4.19974636678669,162.904870266823,"squared_euclidean_pc1_pc3",541.906142180355,"all_pixels",7549,1,935.620499387922,7048.17415107161,2422.422526549,"all_pixels",7549,7573,28671378,"bootstrap_mean",2.80125202964313,NA,2.80125202964313,0.0088875605031407,0.00317271006289032,2.80090369748776,2.77499792665212,2.82301021772545,"10m"
"1005_d",7128,FALSE,"all_pixels",7.38164421381039,6.81275405718392,3.99136215177428,140.834816282145,"squared_euclidean_pc1_pc3",433.284912218104,"all_pixels",6911,1,759.465774377144,4597.21978879779,1892.37814368272,"all_pixels",6911,7128,25400628,"bootstrap_mean",2.79762078925154,NA,2.79762078925154,0.19031900283033,0.0680288778098647,2.7405679364392,2.71932428038131,3.43692931563054,"10m"
"1006_a",7391,FALSE,"all_pixels",7.88972945596212,7.24914917425625,4.19416676820384,159.672971412473,"squared_euclidean_pc1_pc3",547.127831128875,"all_pixels",7341,1,829.105830077555,6020.99472309374,2103.88583959469,"all_pixels",7341,7391,27309745,"bootstrap_mean",2.78235337390387,NA,2.78235337390387,0.0098404029032966,0.00353671930948502,2.78229469452211,2.7611533779932,2.80197265611825,"10m"
"1006_b",8041,FALSE,"all_pixels",7.68349001249416,7.03313200096932,4.31193402026144,155.25296304115,"squared_euclidean_pc1_pc3",506.422004830252,"all_pixels",7768,1,1008.73706968736,7502.13905322593,2560.6932130074,"all_pixels",7768,8041,32324820,"bootstrap_mean",2.75357890806725,NA,2.75357890806725,0.0105964100967363,0.00384823186497094,2.75302127108866,2.72796386459227,2.77878245791659,"10m"
"1006_c",8559,FALSE,"all_pixels",8.96598610296462,7.85340537818379,4.98828276866001,210.537929101207,"squared_euclidean_pc1_pc3",732.362947704298,"all_pixels",8535,1,1309.54867854036,13162.150937396,3614.08236865105,"all_pixels",8535,8559,36623961,"bootstrap_mean",2.77484299257359,NA,2.77484299257359,0.0085982972249179,0.00309866080636988,2.77412113256809,2.75358038633036,2.79468833721361,"10m"
"1006_d",8257,FALSE,"all_pixels",7.77912446477235,7.12583439117313,4.13219498369238,155.17548975007,"squared_euclidean_pc1_pc3",629.81306544216,"all_pixels",8233,1,1120.86978190151,11212.7477371371,3048.69527389371,"all_pixels",8233,8257,34084896,"bootstrap_mean",2.81384456610537,NA,2.81384456610537,0.00894607373560173,0.00317930629266561,2.81295837624349,2.79585841521385,2.8370975264039,"10m"
"1007_a",8143,FALSE,"all_pixels",8.94672026379232,8.49039571278788,4.4272933913931,199.284646325793,"squared_euclidean_pc1_pc3",701.994665078469,"all_pixels",8121,1,1587.29560676567,17380.5070595208,4190.65011040843,"all_pixels",8121,8143,33150153,"bootstrap_mean",2.8186310110749,NA,2.8186310110749,0.0788774915178464,0.0279843268621975,2.82789380992745,2.17438781044002,2.85545960838695,"10m"
