"source","scale","quad_id","metric_id","metric_label","sample_rule","n_boot","metric_value","metric_sd","metric_cv","metric_se"
"sample_size_fixed4000","10m","1917_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,477.673535580759,6.18134669114102,0.0129405257580906,0.874174432434169
"sample_size_fixed4000","10m","204_d","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,486.138437866308,7.90630473674652,0.0162634840631977,1.11812033869616
"sample_size_fixed4000","10m","217_d","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,458.296812922086,8.69856601672375,0.0189802018505474,1.23016300340484
"sample_size_fixed4000","10m","22_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,627.498380339123,13.4791970983944,0.0214808476335982,1.90624633464494
"sample_size_fixed4000","10m","319_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,409.380267521091,8.38692305726742,0.0204868766832669,1.18609003341672
"sample_size_fixed4000","10m","409_d","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,597.753243766678,7.84884337882955,0.0131305742974658,1.1099940755283
"sample_size_fixed4000","10m","503_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,387.497576763514,5.80832387128273,0.0149893166295269,0.821421039342344
"sample_size_fixed4000","10m","614_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,339.256027047749,5.59793455462274,0.0165006193208613,0.791667496842447
"sample_size_fixed4000","10m","700_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,400.225608087872,5.66959597828649,0.0141660000352644,0.801801952566871
"sample_size_fixed4000","10m","722_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,534.389371673613,7.2192402394355,0.0135093260122785,1.02095474566393
"sample_size_fixed4000","10m","800_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,557.422337760892,0,0,0
"sample_size_fixed4000","10m","914_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,447.817065467622,10.3076296394623,0.0230175007482103,1.45771896320465
"sample_size_fixed4000","20m","100","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,572.641199788667,11.7795380972471,0.0205705389371116,1.66587825356174
"sample_size_fixed4000","20m","1201","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,486.358412325868,9.00460809763912,0.0185143463532936,1.27344388955358
"sample_size_fixed4000","20m","1402","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,433.903958893049,9.07465781139909,0.0209139779101114,1.28335041507755
"sample_size_fixed4000","20m","1512","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,597.455409206506,11.6866416785087,0.019560692728567,1.65274071603417
"sample_size_fixed4000","20m","1518","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,663.396981934209,18.9382339733287,0.0285473622718514,2.67827073324764
"sample_size_fixed4000","20m","1800","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,546.549704469301,12.2029571916518,0.0223272597018433,1.72575875614923
"sample_size_fixed4000","20m","1805","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,488.655930907058,12.3935902344285,0.025362610889472,1.75271833960235
"sample_size_fixed4000","20m","1910","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,355.997833827483,8.80300068361059,0.0247276804720013,1.24493229563417
