"scenario","scale","spectral_metric","spectral_label","spectral_transform","biodiversity_metric","biodiversity_label","biodiversity_transform","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"biodiversity_power2_spectral_identity","10m","spec_pca_mean","Raw PCA mean distance","identity","phy_rao","Phylogenetic Rao's Q","power_2",1744,0.0720353362189527,0.00518908966417756,9.08654509221843,0.00261214978234095,4.55228970824118e-06,7.50267962197064
"biodiversity_power2_spectral_identity","20m","spec_pca_mean","Raw PCA mean distance","identity","phy_rao","Phylogenetic Rao's Q","power_2",436,0.112953760121134,0.0127585519255028,5.6087713359968,0.0183080664652088,5.5563039500406e-06,7.82067576871258
"biodiversity_power2_spectral_identity","50m","spec_pca_mean","Raw PCA mean distance","identity","phy_rao","Phylogenetic Rao's Q","power_2",74,0.289461463550484,0.0837879388807882,6.58442718168039,0.0123685812431763,1.05423983843358e-05,7.97270910152913
"biodiversity_power2_spectral_identity","10m","spec_pca_mean","Raw PCA mean distance","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",1744,0.0603858424488887,0.00364644996826201,6.37536328797151,0.0116596642776181,5.62174555476392e-07,7.54351354259252
"biodiversity_power2_spectral_identity","20m","spec_pca_mean","Raw PCA mean distance","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",436,0.162114059336114,0.026280968234433,11.7137899554684,0.000679236755089224,1.74851345680226e-07,7.8624647353453
"biodiversity_power2_spectral_identity","50m","spec_pca_mean","Raw PCA mean distance","identity","phy_afaith","Abundance-weighted Faith's PD","power_2",74,0.397669852208343,0.158141311355405,13.5250423511351,0.000450594168061561,1.8071325222221e-08,8.13928640111959
"biodiversity_power2_spectral_identity","10m","spec_pca_mean","Raw PCA mean distance","identity","sp_rich","Species richness","power_2",1744,-0.0560516851300176,0.00314179140591467,5.49024984889494,0.0192347807392059,-0.00648180592163151,7.7337094269748
"biodiversity_power2_spectral_identity","20m","spec_pca_mean","Raw PCA mean distance","identity","sp_rich","Species richness","power_2",436,-0.129869791365739,0.0168661627093806,7.44549148673783,0.00661787664888005,-0.00461748163522287,8.30207831147828
"biodiversity_power2_spectral_identity","50m","spec_pca_mean","Raw PCA mean distance","identity","sp_rich","Species richness","power_2",74,-0.0636814858127647,0.00405533163532131,0.293172790635614,0.589866032212538,-0.000482385172303238,8.58201749720711
"biodiversity_power2_spectral_identity","10m","spec_pca_mean","Raw PCA mean distance","identity","sp_shannon","Shannon diversity","power_2",1744,-0.0321447182984892,0.00103328291448922,1.80184064819664,0.179665034832101,-0.0671725397576332,7.68594810599574
"biodiversity_power2_spectral_identity","20m","spec_pca_mean","Raw PCA mean distance","identity","sp_shannon","Shannon diversity","power_2",436,-0.0998136355882162,0.0099627618493372,4.36734950564996,0.0372155081582733,-0.113886415013402,8.32961476487514
"biodiversity_power2_spectral_identity","50m","spec_pca_mean","Raw PCA mean distance","identity","sp_shannon","Shannon diversity","power_2",74,-0.157309561721356,0.024746298208965,1.82694356122244,0.18072028486777,-0.0906236485405547,8.92236765265693
