"scale","edge_group","env_measure","env_label","variable","variable_label","n","pearson_r","r_squared","p_value"
"20m","non_edge","env_tri21","TRI 21x21","spec_spca_mean","Std PCA mean distance",360,-0.165164554384078,0.0272793300248909,0.00166369969321852
"20m","edge_only","env_elev","Elevation","phy_faith","Faith's PD",86,-0.324723878412491,0.105445597211251,0.00228522798487605
"20m","edge_only","env_elev","Elevation","phy_rao","Phylogenetic Rao's Q",86,-0.309409458599194,0.0957342130706462,0.00374532179478617
"20m","edge_only","env_elev","Elevation","phy_afaith","Abundance-weighted Faith's PD",86,-0.197344765417357,0.0389449564376317,0.0685649521074691
"20m","edge_only","env_elev","Elevation","sp_shannon","Shannon diversity",86,-0.241346674031093,0.0582482170658705,0.0251813659673984
"20m","edge_only","env_elev","Elevation","spec_sa","SA entropy",80,-0.281003784217336,0.078963126744463,0.0115726450099271
"20m","edge_only","env_elev","Elevation","spec_spca_mean","Std PCA mean distance",76,-0.258391281743504,0.066766054481051,0.0242156620885655
"20m","edge_only","env_tri5","TRI 5x5","phy_faith","Faith's PD",86,0.0702401589126041,0.00493367992406788,0.520455637951455
"20m","edge_only","env_tri5","TRI 5x5","phy_rao","Phylogenetic Rao's Q",86,0.0158460622028802,0.000251097687337549,0.884861616913687
"20m","edge_only","env_tri5","TRI 5x5","phy_afaith","Abundance-weighted Faith's PD",86,-0.00658408113388415,4.33501243775692e-05,0.952023879681258
"20m","edge_only","env_tri5","TRI 5x5","sp_shannon","Shannon diversity",86,-0.0196142133149643,0.000384717363964921,0.85774118512397
"20m","edge_only","env_tri5","TRI 5x5","spec_sa","SA entropy",80,-0.12424573906237,0.0154370036751544,0.272178785783338
"20m","edge_only","env_tri5","TRI 5x5","spec_spca_mean","Std PCA mean distance",76,-0.145535478779839,0.0211805755836771,0.209692066476538
"20m","edge_only","env_tri11","TRI 11x11","phy_faith","Faith's PD",86,0.06412161685162,0.00411158174766596,0.557511253526289
"20m","edge_only","env_tri11","TRI 11x11","phy_rao","Phylogenetic Rao's Q",86,0.00492091725352603,2.42154266160502e-05,0.964133454865914
"20m","edge_only","env_tri11","TRI 11x11","phy_afaith","Abundance-weighted Faith's PD",86,-0.018749483031529,0.000351543113949593,0.863951504742887
"20m","edge_only","env_tri11","TRI 11x11","sp_shannon","Shannon diversity",86,-0.0163054880991538,0.000265868942151645,0.881547253484373
"20m","edge_only","env_tri11","TRI 11x11","spec_sa","SA entropy",80,-0.131173133749598,0.01720639101769,0.246129287928444
"20m","edge_only","env_tri11","TRI 11x11","spec_spca_mean","Std PCA mean distance",76,-0.150056088748323,0.0225168297704447,0.195728381196719
"20m","edge_only","env_tri21","TRI 21x21","phy_faith","Faith's PD",86,0.0200238175962053,0.000400953271126101,0.854802480365095
"20m","edge_only","env_tri21","TRI 21x21","phy_rao","Phylogenetic Rao's Q",86,-0.0378324737321571,0.00143129606869436,0.729467572945966
"20m","edge_only","env_tri21","TRI 21x21","phy_afaith","Abundance-weighted Faith's PD",86,-0.0570270207392793,0.00325208109439819,0.601995571133633
"20m","edge_only","env_tri21","TRI 21x21","sp_shannon","Shannon diversity",86,-0.0397927899749937,0.00158346613399396,0.716031738240576
"20m","edge_only","env_tri21","TRI 21x21","spec_sa","SA entropy",80,-0.158914445610886,0.0252538010238154,0.159140409857091
"20m","edge_only","env_tri21","TRI 21x21","spec_spca_mean","Std PCA mean distance",76,-0.159082724715914,0.0253073133030391,0.169868864454316
