"scale","analysis_set","sv_measure","sv_label","diversity_measure","diversity_label","n","edge_n","pearson_r","r_squared","slope","intercept","f_statistic","f_p_value","spearman_r","spearman_p_value"
"10m","non_edge","spec_spca_rao","Std PCA Rao's Q","sp_shannon","Shannon diversity",1440,0,-0.0659801702477927,0.00435338286592771,-25.2227182947408,171.030681601607,6.28753661537431,0.0122684816210924,-0.0335315435613772,0.20348498147463
"10m","edge_only","spec_spca_rao","Std PCA Rao's Q","sp_shannon","Shannon diversity",304,304,-0.0310348872930396,0.000963164229291668,-10.3415186185948,143.59876352401,0.291156028317702,0.58987828285992,0.0923620107646702,0.108012780946709
"10m","all_quads","spec_spca_alpha","Std PCA alpha-hull area","phy_faith","Faith's PD",1744,304,0.152949455596971,0.0233935359674099,0.0992662098661044,502.150380124695,41.7276980606469,1.35748499117001e-10,0.113909341527726,1.85038844865614e-06
"10m","non_edge","spec_spca_alpha","Std PCA alpha-hull area","phy_faith","Faith's PD",1440,0,0.14840887614653,0.0220251945190762,0.0986200069797777,506.479149031358,32.3855272558444,1.52977437452212e-08,0.113481906878391,1.5848923203008e-05
"10m","edge_only","spec_spca_alpha","Std PCA alpha-hull area","phy_faith","Faith's PD",304,304,0.121819995853251,0.014840111389686,0.0702392896642967,494.621327209434,4.54922464008068,0.0337398079217235,0.100643323791986,0.0797741185330796
"10m","all_quads","spec_spca_alpha","Std PCA alpha-hull area","phy_rao","Phylogenetic Rao's Q",1744,304,0.176700073123062,0.0312229158416955,0.365775150889332,498.810808740093,56.1432761835908,1.06582636162814e-13,0.112107227401663,2.68991020084061e-06
"10m","non_edge","spec_spca_alpha","Std PCA alpha-hull area","phy_rao","Phylogenetic Rao's Q",1440,0,0.168800538454849,0.0284936217826471,0.352469729109901,504.651407272657,42.1755626541852,1.14630947643129e-10,0.105685364458002,5.8631303850878e-05
"10m","edge_only","spec_spca_alpha","Std PCA alpha-hull area","phy_rao","Phylogenetic Rao's Q",304,304,0.176153266870376,0.0310299734291061,0.350604830667172,481.559944865958,9.67114742315964,0.00205044929630679,0.121956074268574,0.0335401505821478
"10m","all_quads","spec_spca_alpha","Std PCA alpha-hull area","phy_afaith","Abundance-weighted Faith's PD",1744,304,0.188235408715587,0.0354325690943239,0.151518614955482,504.996807175095,63.9908972505503,2.25843841968381e-15,0.132439292794359,2.83501960598959e-08
"10m","non_edge","spec_spca_alpha","Std PCA alpha-hull area","phy_afaith","Abundance-weighted Faith's PD",1440,0,0.179682521041373,0.0322858083677833,0.143902490269834,511.465148115703,47.9759342524111,6.48693007638497e-12,0.118273505210944,6.79312548655741e-06
"10m","edge_only","spec_spca_alpha","Std PCA alpha-hull area","phy_afaith","Abundance-weighted Faith's PD",304,304,0.209116920166068,0.0437298862997416,0.175582139597647,478.769225486955,13.8103507296909,0.000240910150984393,0.200602260398602,0.000433097820798165
"10m","all_quads","spec_spca_alpha","Std PCA alpha-hull area","sp_shannon","Shannon diversity",1744,304,-0.0246043137563756,0.000605372255422172,-9.19715612563094,556.983309077242,1.05519725608826,0.304455753016458,-0.0160589552763287,0.50272772890915
"10m","non_edge","spec_spca_alpha","Std PCA alpha-hull area","sp_shannon","Shannon diversity",1440,0,-0.0412381978738394,0.00170058896388193,-15.7978853522003,569.019196916087,2.44961271441013,0.117773890403594,-0.0317145456103098,0.229077019021297
"10m","edge_only","spec_spca_alpha","Std PCA alpha-hull area","sp_shannon","Shannon diversity",304,304,0.0679393319523857,0.00461575282613646,21.3768919155191,501.191196979752,1.40042135230791,0.237583725948899,0.0636952578166871,0.268244560755504
"10m","all_quads","spec_spca_convex","Std PCA convex-hull area","phy_faith","Faith's PD",1744,304,-0.0257109679161645,0.000661053871186038,-0.123554421643737,1942.85279873804,1.1523175876082,0.283213197033312,-0.0199782343140522,0.404393366132108
"10m","non_edge","spec_spca_convex","Std PCA convex-hull area","phy_faith","Faith's PD",1440,0,-0.0446382063415009,0.00199256946538641,-0.21442390034919,1991.22007215904,2.87103562915435,0.0904033483085105,-0.0190528139533048,0.470023281902982
"10m","edge_only","spec_spca_convex","Std PCA convex-hull area","phy_faith","Faith's PD",304,304,0.0684646295293239,0.00468740549658757,0.346516924439523,1729.96461381832,1.42226318423682,0.233967427327432,-0.0406072528485518,0.480570119021797
"10m","all_quads","spec_spca_convex","Std PCA convex-hull area","phy_rao","Phylogenetic Rao's Q",1744,304,-0.0208447425749369,0.000434503293015388,-0.319492278117737,1928.87039339122,0.757233756993801,0.384315491776219,-0.0259149586661782,0.279409789223188
"10m","non_edge","spec_spca_convex","Std PCA convex-hull area","phy_rao","Phylogenetic Rao's Q",1440,0,-0.0376763147233664,0.00141950469113416,-0.568692782734533,1968.08918645688,2.04414942554987,0.153009578687883,-0.0312374942793973,0.236160105964337
"10m","edge_only","spec_spca_convex","Std PCA convex-hull area","phy_rao","Phylogenetic Rao's Q",304,304,0.0716136742353141,0.00512851833748169,1.25118004202309,1721.43736668201,1.55679659781912,0.213101474803872,-0.0121904390907328,0.832356837062614
"10m","all_quads","spec_spca_convex","Std PCA convex-hull area","phy_afaith","Abundance-weighted Faith's PD",1744,304,-0.00404106053952449,1.6330170284102e-05,-0.0240849854421851,1892.97287001866,0.0284476211894039,0.866080339647608,0.0167348026080911,0.484918507029389
"10m","non_edge","spec_spca_convex","Std PCA convex-hull area","phy_afaith","Abundance-weighted Faith's PD",1440,0,-0.0299048908642038,0.000894302497599938,-0.173127477998198,1940.0575363097,1.28715810025257,0.256761419727549,-0.00746188593063881,0.77724068879792
"10m","edge_only","spec_spca_convex","Std PCA convex-hull area","phy_afaith","Abundance-weighted Faith's PD",304,304,0.158967983239774,0.025270819695321,1.17164889032781,1575.64096172982,7.8296492012288,0.00546997557924742,0.131757062677795,0.0215717381638601
"10m","all_quads","spec_spca_convex","Std PCA convex-hull area","sp_shannon","Shannon diversity",1744,304,-0.0606062947022864,0.00367312295754039,-167.743768917272,2055.95201401884,6.42216961066951,0.011357395802789,-0.038761312086885,0.105626521710875
