scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,120_d,fixed_3000,3000,0.4244482173174873,50,8.957243772456545,8.954695695397596,0.0676264286331697,8.816168508448687,9.12490295688426,all_sampled_pixels,3000,3000,0.007549914946059684,0.009563821254788479,8.938024554090592,8.976462990822498,8.951745064049764,0.005498708406781461,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (42.4%)","3,000
42.4%",7068,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,120_d,fixed_4000,4000,0.5659309564233164,50,8.951745064049764,8.947384837710711,0.054231333634946206,8.861417125255524,9.070445917960036,all_sampled_pixels,4000,4000,0.006058185666249524,0.007669468753212112,8.936332689561372,8.967157438538155,8.951745064049764,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (56.6%)","4,000
56.6%",7068,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,pct_1,80,0.009966363523109506,50,7.199678850003416,7.188474933877034,0.3942620790855221,6.40199504405819,7.937787958123029,all_sampled_pixels,80,80,0.054761064666840664,0.05575707793721591,7.087630806886102,7.3117268931207295,7.27178411784414,-0.07210526784072435,percent,0.01,1% of pixels,1%,1% of pixels = 80 pixels (1.0%),"1%
80 px",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,pct_2,161,0.02005730659025788,50,7.271047519243584,7.232806343766246,0.32822613048339705,6.487171674358215,8.484607727997203,all_sampled_pixels,161,161,0.045141519102263106,0.04641818452548613,7.177766685068672,7.364328353418497,7.27178411784414,-7.36598600555638e-4,percent,0.02,2% of pixels,2%,2% of pixels = 161 pixels (2.0%),"2%
161 px",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,pct_3,241,0.030023670113367384,50,7.276449179049293,7.24610143209449,0.2511367413915782,6.83160390119179,7.853415020729589,all_sampled_pixels,241,241,0.034513639168217286,0.03551609856861545,7.2050769068463625,7.347821451252224,7.27178411784414,0.004665061205153087,percent,0.03,3% of pixels,3%,3% of pixels = 241 pixels (3.0%),"3%
241 px",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_1250,1250,0.15572443004858602,50,7.268899453255338,7.275700942487402,0.11564919944515153,7.0433943590669585,7.508590932816381,all_sampled_pixels,1250,1250,0.015910138830350536,0.016355266633292433,7.2360323144324274,7.301766592078249,7.27178411784414,-0.0028846645888016553,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (15.6%)","1,250
15.6%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_2000,2000,0.24915908807773762,50,7.270792580498411,7.2820395900508466,0.07165380516615738,7.107917081329861,7.468982940667829,all_sampled_pixels,2000,2000,0.009855019844514052,0.01013337830616191,7.250428794385885,7.291156366610937,7.27178411784414,-9.915373457287657e-4,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (24.9%)","2,000
24.9%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_3000,3000,0.37373863211660646,50,7.265682598702592,7.275180883235111,0.05577393880871245,7.1526120915232605,7.386602979971069,all_sampled_pixels,3000,3000,0.007676352228580948,0.007887626069024826,7.249831820674545,7.28153337673064,7.27178411784414,-0.006101519141547662,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (37.4%)","3,000
37.4%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_4000,4000,0.49831817615547525,50,7.27178411784414,7.27687637983283,0.0377117400964287,7.179192962584817,7.366954702240184,all_sampled_pixels,4000,4000,0.005186036808200663,0.005333245430505872,7.261066559893463,7.282501675794817,7.27178411784414,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (49.8%)","4,000
49.8%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1315_b,pct_1,91,0.010025338768315522,50,8.017904971957806,7.9793211081880155,0.5785070480559796,6.536082553729117,9.067156834987477,all_sampled_pixels,91,91,0.0721518962970099,0.08181325132891902,7.85349508801818,8.182314855897433,7.997892015133444,0.020012956824362327,percent,0.01,1% of pixels,1%,1% of pixels = 91 pixels (1.0%),"1%
91 px",9077,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1315_b,pct_2,182,0.020050677536631045,50,7.994985243370035,7.998531196447177,0.37506414206079897,7.314670106882046,8.942291660302155,all_sampled_pixels,182,182,0.046912424556608996,0.05304207964622111,7.888393193587152,8.101577293152918,7.997892015133444,-0.002906771763409033,percent,0.02,2% of pixels,2%,2% of pixels = 182 pixels (2.0%),"2%
182 px",9077,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1315_b,pct_3,272,0.029965847747052993,50,7.913463752361251,7.924263658239811,0.32822225035985864,7.186254416076272,8.704114344584607,all_sampled_pixels,272,272,0.041476433156330865,0.04641763579315295,7.820184020905247,8.006743483817255,7.997892015133444,-0.08442826277219329,percent,0.03,3% of pixels,3%,3% of pixels = 272 pixels (3.0%),"3%
272 px",9077,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1315_b,fixed_1250,1250,0.13771069736697147,50,7.954897484373165,7.95270010291315,0.13849803673964356,7.619519400754306,8.254154423872576,all_sampled_pixels,1250,1250,0.01741041126069986,0.01958658019192511,7.915536777839426,7.994258190906903,7.997892015133444,-0.04299453076027948,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (13.8%)","1,250
13.8%",9077,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
