"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","spectral_group","biodiversity_group"
"10m","phy_rao","Phylogenetic Rao's Q","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.0437895976538778,0.115416500911364,0.0019175288626885,3.34675277384349,0.0675085727682812,0.090883252012671,131.170305210415,2.22741038043128e-61,0.00535683242252569,"standardized_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.0247425802063645,0.118184761008124,0.000612195275268382,1.06709744152948,0.301745374940742,0.0199684838844868,137.687005148258,2.19451641596664e-61,-0.0328651958088523,"standardized_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0816976109520962,-0.0194271108448491,0.00667449963528009,11.7051040775545,0.000637688841598317,-8.07229145284834,176.947667850264,6.54654578791352e-61,0.121930486015696,"standardized_pca","species"
"10m","sp_shannon","Shannon diversity","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0602378151594359,-0.011807395563581,0.00362859437518237,6.34403131792388,0.0118666098133426,-22.5759975248907,166.159365215954,4.51179056918958e-61,0.0910269504882353,"standardized_pca","species"
"10m","sp_simpson","Simpson diversity","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0518602044973615,-0.00955033685879449,0.00268948081050815,4.69770997273019,0.0303379226966391,-40.3991633163401,165.775239321829,3.97253570606755e-61,0.078608471986227,"standardized_pca","species"
"10m","sp_even","Species evenness","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0204223348792913,-0.0115340196544135,0.000417071761921918,0.726842154606042,0.394025885341952,-13.8827133434371,153.321988432505,2.77774994868151e-61,0.0230013009508551,"standardized_pca","species"
"10m","phy_faith","Faith's PD","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.119174997265763,0.151305306975585,0.0142026799732946,25.0975205662041,6.00294649947351e-07,0.000956582242081547,6.40327685231647,5.14165208739289e-49,0.0285274396659201,"standardized_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.140069370440033,0.150817761532645,0.0196194285354673,34.8609973550668,4.2474891183694e-09,0.00358595061848359,6.36292636923665,6.37784476139532e-49,0.0518732693067322,"standardized_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.122298147232418,0.141681513445298,0.0149568368164822,26.4504244160293,3.00872765899464e-07,0.00121749786192934,6.49904492597628,3.72098163104887e-49,0.00758270044219091,"standardized_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_spca_mean","Std PCA mean distance","identity","identity",1744,-0.0516658583962656,-0.00671978948607114,0.002669360923823,4.6624725513366,0.030964889680954,-0.0629708202632219,7.1043710054576,1.81029836227689e-48,0.0864559684861271,"standardized_pca","species"
