"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","metric_group"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.698270337128914,0.652173746226612,0.487581463714127,1657.5647632625,3.3135768888571e-255,0.0204449437069474,-14.9596002334629,4.76425162867813e-55,0.520154868783333,"spectral"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.686815585420146,0.571235229893501,0.471715648376018,1555.46659094666,1.15356575576046e-243,0.000248056545668695,4.92169150003774,4.90335017473873e-41,0.393316185142635,"spectral"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.782631359092395,0.732217288792629,0.612511844234809,2753.62128308152,0,0.169227328047439,576.143196242477,3.31771413813599e-35,0.351169683012146,"spectral"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.764530736010522,0.715936474193688,0.58450724630479,2450.61222851041,0,3.5189585447073,1898.77886801372,4.92844226202534e-40,0.410890917316658,"spectral"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.78053728331849,0.720262224094567,0.609238450650209,2715.96164668353,0,0.443663591726097,1911.31101059047,9.60807810385923e-34,0.344274671777631,"spectral"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_sa","Spectral angle entropy","identity","identity",1744,0.124562142590036,0.0328701490252771,0.0155157273666206,27.4543716176952,1.80403678119604e-07,2.55301445935374e-06,2.8227789076611,3.92608720230524e-21,0.11670600091588,"spectral"
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.609014052826284,0.633553676414265,0.370898116539896,1027.0268393712,1.52153967779439e-177,0.07470602252198,350.94742758943,3.05117793459236e-23,0.407625500396594,"spectral"
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.679896327782778,0.646335166229063,0.462259016532507,1497.47784073874,5.99548320880193e-237,0.0836192813777075,-76.8882616096882,1.8700964572441e-55,0.481002622422341,"spectral"
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.664341238315131,0.550417261998457,0.441349280926082,1376.22743715024,1.65159366056765e-222,0.00100786687387521,4.18790221534276,3.54031051323281e-41,0.382246220433161,"spectral"
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.81406233777565,0.76292128146364,0.662697489784757,3422.50351611192,0,0.739387874724266,-60.887147080921,6.12657250029162e-34,0.311854195026655,"spectral"
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.769736253017807,0.728798588586886,0.592493899209894,2532.78262686735,0,14.8820428942546,-10049.5872677551,2.46642410789851e-39,0.388484365915273,"spectral"
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.803868975860841,0.74335862868494,0.646205330351557,3181.75987951142,0,1.9193174683857,291.60221207406,1.06855486790482e-32,0.290425010493651,"spectral"
"10m","spec_hull3d_a","Raw PCA 3D hull area","spec_sa","Spectral angle entropy","identity","identity",1744,0.0967086967471826,0.0219404975725756,0.00935257202653854,16.4459928024631,5.22644417626685e-05,8.32595664384828e-06,2.82061739232717,5.65684668248684e-21,0.130944765310517,"spectral"
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.55312606473188,0.864492231205745,0.305948443485776,767.899997557747,2.45564439479779e-140,0.554574069240307,-160.415014136488,1.25339635516341e-61,0.323037052300786,"spectral"
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.800975837422949,0.872790784976496,0.641562292135394,3117.97974481527,0,0.00990610835952653,1.41664840442772,1.21876880760852e-55,0.291701639974225,"spectral"
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.549834029605077,0.637449158601004,0.302317460111756,754.837602212371,2.32562949848882e-138,4.07115817488883,-343.484508037495,2.39565790898073e-43,0.23310660233401,"spectral"
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.558944556308915,0.683097336187819,0.31241901702737,791.519749875547,6.95853182493081e-144,88.0969840579575,-19108.3344367882,2.00629511799996e-46,0.336747361946733,"spectral"
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.566721438651306,0.653476204517266,0.321173189027005,824.192100608267,9.76195629770444e-149,11.0306953307789,-695.380881565953,1.60531556794612e-42,0.252198002462493,"spectral"
