"scale","model","distance_bin","distance_mean","distance_median","pair_n","semivariance_mean","semivariance_median"
"20m","spec_spca_alpha ~ phy_afaith","[19.9,84.8]",56.2783101655954,60.0000114894955,9483,15734.3918946805,5604.75950372019
"20m","spec_spca_alpha ~ phy_afaith","(84.8,126]",107.119495283658,107.703129440505,9483,17830.7362776994,6663.83941517653
"20m","spec_spca_alpha ~ phy_afaith","(126,161]",145.576056441873,144.222391977151,9483,18401.1555363959,6411.81480240403
"20m","spec_spca_alpha ~ phy_afaith","(161,198]",179.917095126469,181.107661365784,9483,18758.90186297,6626.92148271793
"20m","spec_spca_alpha ~ phy_afaith","(198,228]",213.20724346082,215.38284463797,9483,18933.4488011055,6631.31388586976
"20m","spec_spca_alpha ~ phy_afaith","(228,261]",246.434118986095,244.130694950686,9483,18590.756253087,6484.36060775456
"20m","spec_spca_alpha ~ phy_afaith","(261,300]",280.417694188204,280.71345781184,9483,16406.7397009871,6281.0014389723
"20m","spec_spca_alpha ~ phy_afaith","(300,340]",316.757883501529,316.22830508586,9483,14770.5882471445,5492.79959502427
"20m","spec_spca_alpha ~ phy_afaith","(340,385]",359.634617082533,360.511537422293,9483,14291.7328182296,5392.12137218102
"20m","spec_spca_alpha ~ phy_afaith","(385,600]",433.391932463185,424.265240169202,9483,11686.0365429031,4540.27963532045
"20m","spec_spca_mean ~ phy_rao","[19.9,84.8]",56.2783101655954,60.0000114894955,9483,1.72758962843136,0.388793640048608
"20m","spec_spca_mean ~ phy_rao","(84.8,126]",107.119495283658,107.703129440505,9483,1.96392349126924,0.461728080400788
"20m","spec_spca_mean ~ phy_rao","(126,161]",145.576056441873,144.222391977151,9483,2.08900354125928,0.451057693352808
"20m","spec_spca_mean ~ phy_rao","(161,198]",179.917095126469,181.107661365784,9483,2.15207876811348,0.461834497103047
"20m","spec_spca_mean ~ phy_rao","(198,228]",213.20724346082,215.38284463797,9483,2.15705103484087,0.442640623000951
"20m","spec_spca_mean ~ phy_rao","(228,261]",246.434118986095,244.130694950686,9483,2.07904832898543,0.435830521891284
"20m","spec_spca_mean ~ phy_rao","(261,300]",280.417694188204,280.71345781184,9483,1.59828518470267,0.424650566436976
"20m","spec_spca_mean ~ phy_rao","(300,340]",316.757883501529,316.22830508586,9483,1.38925639652294,0.373525894170755
"20m","spec_spca_mean ~ phy_rao","(340,385]",359.634617082533,360.511537422293,9483,1.34151295090412,0.35737244433567
"20m","spec_spca_mean ~ phy_rao","(385,600]",433.391932463185,424.265240169202,9483,1.135429321012,0.327263325275424
"20m","spec_spca_mean ~ phy_afaith","[19.9,84.8]",56.2783101655954,60.0000114894955,9483,1.68281841270663,0.374262090253821
"20m","spec_spca_mean ~ phy_afaith","(84.8,126]",107.119495283658,107.703129440505,9483,1.92259137032632,0.436808884693609
"20m","spec_spca_mean ~ phy_afaith","(126,161]",145.576056441873,144.222391977151,9483,2.06705507459848,0.426601508444102
"20m","spec_spca_mean ~ phy_afaith","(161,198]",179.917095126469,181.107661365784,9483,2.11423545513396,0.440356968281382
"20m","spec_spca_mean ~ phy_afaith","(198,228]",213.20724346082,215.38284463797,9483,2.11661204195751,0.426807795253826
"20m","spec_spca_mean ~ phy_afaith","(228,261]",246.434118986095,244.130694950686,9483,2.03972488794997,0.412257799457214
"20m","spec_spca_mean ~ phy_afaith","(261,300]",280.417694188204,280.71345781184,9483,1.56662844414767,0.404437916895694
"20m","spec_spca_mean ~ phy_afaith","(300,340]",316.757883501529,316.22830508586,9483,1.35721454073868,0.348192537652575
"20m","spec_spca_mean ~ phy_afaith","(340,385]",359.634617082533,360.511537422293,9483,1.32532526285192,0.35306288700931
"20m","spec_spca_mean ~ phy_afaith","(385,600]",433.391932463185,424.265240169202,9483,1.14089455424657,0.320407516860344
"50m","spec_spca_alpha ~ phy_rao","[50,100]",64.9276152875817,70.6964680552108,271,9354.06351311078,4027.10148073946
"50m","spec_spca_alpha ~ phy_rao","(100,141]",109.292283714789,111.781052571267,270,10177.7782511744,4184.60766739786
"50m","spec_spca_alpha ~ phy_rao","(141,158]",150.435088324387,149.970351497444,270,11028.5175583192,4470.64286106962
"50m","spec_spca_alpha ~ phy_rao","(158,200]",179.517174670435,180.242035649188,270,11063.9206451608,3884.28359010756
"50m","spec_spca_alpha ~ phy_rao","(200,224]",210.980034735874,206.114727263457,270,9977.66047172379,3757.2068345498
"50m","spec_spca_alpha ~ phy_rao","(224,255]",244.984708479114,249.950054984752,270,11575.1246158191,4641.74085442663
"50m","spec_spca_alpha ~ phy_rao","(255,291]",274.87109251618,269.205358481928,270,10985.1197316546,4521.64715557693
"50m","spec_spca_alpha ~ phy_rao","(291,335]",312.124548841672,316.164231524274,270,9176.03861471823,3187.94636799333
"50m","spec_spca_alpha ~ phy_rao","(335,381]",356.643521106996,353.483924691493,270,8936.21161488894,3441.56453872667
"50m","spec_spca_alpha ~ phy_rao","(381,570]",431.111145739596,425.64751877317,270,8004.26281460248,2966.4279734993
"50m","spec_spca_alpha ~ phy_afaith","[50,100]",64.9276152875817,70.6964680552108,271,9050.87326285779,3214.31236596138
"50m","spec_spca_alpha ~ phy_afaith","(100,141]",109.292283714789,111.781052571267,270,9570.83081160706,4148.58987920385
"50m","spec_spca_alpha ~ phy_afaith","(141,158]",150.435088324387,149.970351497444,270,11007.3983233559,3809.49682588132
"50m","spec_spca_alpha ~ phy_afaith","(158,200]",179.517174670435,180.242035649188,270,10382.4932043857,3905.58146102154
"50m","spec_spca_alpha ~ phy_afaith","(200,224]",210.980034735874,206.114727263457,270,10247.0420717191,2967.87096191516
"50m","spec_spca_alpha ~ phy_afaith","(224,255]",244.984708479114,249.950054984752,270,10995.8982559643,3931.08723767499
"50m","spec_spca_alpha ~ phy_afaith","(255,291]",274.87109251618,269.205358481928,270,10306.6970338281,3436.86057710142
"50m","spec_spca_alpha ~ phy_afaith","(291,335]",312.124548841672,316.164231524274,270,9170.14755932269,2631.14586845785
"50m","spec_spca_alpha ~ phy_afaith","(335,381]",356.643521106996,353.483924691493,270,9823.47755555727,3425.12693771863
"50m","spec_spca_alpha ~ phy_afaith","(381,570]",431.111145739596,425.64751877317,270,8543.43083709008,3063.91287334688
"50m","spec_spca_mean ~ phy_rao","[50,100]",64.9276152875817,70.6964680552108,271,0.700252950985804,0.240912312827665
"50m","spec_spca_mean ~ phy_rao","(100,141]",109.292283714789,111.781052571267,270,0.843204714862053,0.295394072537035
"50m","spec_spca_mean ~ phy_rao","(141,158]",150.435088324387,149.970351497444,270,0.888777589733703,0.238604448153868
"50m","spec_spca_mean ~ phy_rao","(158,200]",179.517174670435,180.242035649188,270,0.950231349489974,0.30128176636251
"50m","spec_spca_mean ~ phy_rao","(200,224]",210.980034735874,206.114727263457,270,0.861875223409883,0.249769896638288
"50m","spec_spca_mean ~ phy_rao","(224,255]",244.984708479114,249.950054984752,270,0.875689672984292,0.271715541273988
"50m","spec_spca_mean ~ phy_rao","(255,291]",274.87109251618,269.205358481928,270,0.781241392441682,0.261802662770495
"50m","spec_spca_mean ~ phy_rao","(291,335]",312.124548841672,316.164231524274,270,0.609192442559171,0.160955464595435
"50m","spec_spca_mean ~ phy_rao","(335,381]",356.643521106996,353.483924691493,270,0.645655310055182,0.186642926278687
"50m","spec_spca_mean ~ phy_rao","(381,570]",431.111145739596,425.64751877317,270,0.573808103881889,0.212683303185962
"50m","spec_spca_mean ~ phy_afaith","[50,100]",64.9276152875817,70.6964680552108,271,0.693798287955166,0.197813937726362
"50m","spec_spca_mean ~ phy_afaith","(100,141]",109.292283714789,111.781052571267,270,0.841635087452166,0.262227548352147
"50m","spec_spca_mean ~ phy_afaith","(141,158]",150.435088324387,149.970351497444,270,0.923031436440482,0.290326375759519
"50m","spec_spca_mean ~ phy_afaith","(158,200]",179.517174670435,180.242035649188,270,0.914670453406728,0.291781000265131
"50m","spec_spca_mean ~ phy_afaith","(200,224]",210.980034735874,206.114727263457,270,0.894029572842567,0.247392218280388
"50m","spec_spca_mean ~ phy_afaith","(224,255]",244.984708479114,249.950054984752,270,0.867999275834145,0.238403228710303
"50m","spec_spca_mean ~ phy_afaith","(255,291]",274.87109251618,269.205358481928,270,0.781668257324545,0.275124568996473
"50m","spec_spca_mean ~ phy_afaith","(291,335]",312.124548841672,316.164231524274,270,0.642992637183185,0.175914502221481
"50m","spec_spca_mean ~ phy_afaith","(335,381]",356.643521106996,353.483924691493,270,0.725470536048589,0.215386815910221
"50m","spec_spca_mean ~ phy_afaith","(381,570]",431.111145739596,425.64751877317,270,0.652297937598992,0.233202211964572
