"scale","x_metric","y_metric","n","x_label","y_label","x_transform","y_transform","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","abs_r","identity_pearson_r","identity_spearman_r","identity_r_squared","identity_residual_abs_cor_fitted","delta_abs_r","delta_r_squared","best_transform_pair"
"20m","sp_shannon","spec_spca_alpha",436,"Shannon diversity","Std PCA alpha hull","power_2","power_2",-0.0444817625918108,-0.00472824910577063,0.00197862720327422,0.860426669836374,0.354134883576277,-8396.83170199706,463944.516550841,3.75973009511489e-19,0.119743558954531,0.0444817625918108,-0.0243352970022209,-0.00472824910577063,0.000592206680186302,0.107607905599204,0.0201464655895899,0.00138642052308792,"power_2 x / power_2 y"
"20m","sp_rich","spec_spca_mean",436,"Species richness","Std PCA mean distance","identity","power_2",-0.0585750811520194,0.0183985608421327,0.00343104013196566,1.49419807081918,0.222229676349244,-0.650519735488165,56.9101593726052,3.5842977513711e-27,0.148961481215713,0.0585750811520194,-0.0385724589646704,0.0183985608421327,0.00148783459058119,0.143738955440102,0.020002622187349,0.00194320554138447,"identity x / power_2 y"
"10m","sp_even","spec_spca_hull3d_v",1744,"Species evenness","Std PCA 3D hull volume","power_0.25","log",-0.0485943446332689,-0.0215929878198175,0.00236141033033693,4.12331363085003,0.0424477830253191,-0.1793982459651,10.2275635739185,7.19177966991203e-11,0.0208411751811073,0.0485943446332689,-0.0286177945289571,-0.0215929878198175,0.000818978163701607,0.0304564695099805,0.0199765501043117,0.00154243216663532,"power_0.25 x / log y"
"50m","sp_shannon","spec_hull3d_a",74,"Shannon diversity","Raw PCA 3D hull area","log1p","power_2",-0.0616112120083182,0.0182302850796001,0.00379594144513396,0.274349197539023,0.602037703885003,-12695406.4827233,42823982.2897513,3.24271149025025e-09,0.157325167084776,0.0616112120083182,-0.042004558640315,0.0182302850796001,0.00176438294656765,0.126876537851333,0.0196066533680032,0.0020315584985663,"log1p x / power_2 y"
"10m","phy_rao","spec_pca_mean",1744,"Phylogenetic Rao's Q","Raw PCA mean distance","power_2","identity",0.0720353362189527,0.0200988709848203,0.00518908966417756,9.08654509221843,0.00261214978234095,4.55228970824118e-06,7.50267962197064,1.0919376908878e-32,0.0592052328741706,0.0720353362189527,0.0528132377302096,0.0200988709848203,0.00278923807954764,0.0530185661729264,0.0192220984887431,0.00239985158462993,"power_2 x / identity y"
"20m","phy_rao","spec_convex",436,"Phylogenetic Rao's Q","Raw PCA convex hull","log1p","sqrt",0.0282890266858099,-0.0158132908437138,0.000800269030830468,0.347594928837245,0.555784537859165,0.510787267118956,34.8487535013484,3.59101837705028e-15,0.0106621810106805,0.0282890266858099,0.00911104653227919,-0.0158132908437138,8.30111689133571e-05,-0.00328059047643637,0.0191779801535307,0.000717257861917111,"log1p x / sqrt y"
"20m","sp_even","spec_spca_convex",436,"Species evenness","Std PCA convex hull","power_2","boxcox",-0.0211342806040275,-0.00886374774949561,0.000446657816649795,0.193936115507934,0.659879866634629,-0.00255179359761271,2.38749381861776,0.523847730070516,-0.0279419308797262,0.0211342806040275,-0.00203373772100209,-0.00886374774949561,4.13608911782684e-06,-0.00977067888023948,0.0191005428830254,0.000442521727531969,"power_2 x / boxcox y"
"20m","sp_rich","spec_spca_alpha",436,"Species richness","Std PCA alpha hull","sqrt","power_2",-0.0305639991619639,0.0256372992948453,0.000934158044772529,0.405803676199998,0.524442988707233,-15231.4141655409,482406.902322778,3.2014199552582e-19,0.124221328338021,0.0305639991619639,-0.0117257246096542,0.0256372992948453,0.000137492617621448,0.115080727949308,0.0188382745523098,0.000796665427151082,"sqrt x / power_2 y"
"20m","phy_afaith","spec_hull3d_v",436,"Abundance-weighted Faith's PD","Raw PCA 3D hull volume","identity","yeojohnson",0.107957223125144,0.0666367926611296,0.0116547620248922,5.11781361861592,0.0241751730630743,4.86034693572446e-05,6.00643241456463,2.71884033565433e-08,-0.021904365782532,0.107957223125144,0.0891911633661981,0.0666367926611296,0.00795506362261585,0.037314032494542,0.0187660597589459,0.00369969840227631,"identity x / yeojohnson y"
"50m","phy_afaith","spec_convex",74,"Abundance-weighted Faith's PD","Raw PCA convex hull","boxcox","power_2",0.093488611482132,0.0300185116623473,0.00874012047685725,0.634837228191308,0.428206068610265,10091057.5988492,-26152948.9715342,2.2166280136572e-09,0.122454746869268,0.093488611482132,0.0749728432792722,0.0300185116623473,0.00562092722937831,0.0204900731634588,0.0185157682028598,0.00311919324747893,"boxcox x / power_2 y"
