"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","target_group","driver_metric","target_metric"
"10m","env_elev","Mean elevation","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.0550057809244254,0.0412025303254424,0.00302563593510588,5.28665328711639,0.0216072996743345,3.73517391735418,1786.50298726101,2.12597593621448e-41,-0.0277909564097005,"spectral","env_elev","spec_hull3d_a"
"10m","env_tri5","TRI 5x5","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.0134832037245006,0.0340890440656451,0.000181796782676387,0.316747579113069,0.573641239850152,18.8939270557773,2596.14135116681,3.6666111595025e-41,0.015995384621545,"spectral","env_tri5","spec_hull3d_a"
"10m","env_tri11","TRI 11x11","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,-0.00278828789998413,0.0184745863248101,7.77454941319784e-06,0.0135433703713928,0.907367979808023,-0.878535538012281,2641.34415622931,3.6992625257751e-41,-0.00229666696385423,"spectral","env_tri11","spec_hull3d_a"
"10m","env_tri21","TRI 21x21","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,-0.0159957993508832,-0.000564139036326464,0.000255865596873716,0.445831942810166,0.504409419185157,-1.60593592983876,2684.41963890482,3.74608672104088e-41,0.0037637307561161,"spectral","env_tri21","spec_hull3d_a"
"10m","brightness_n_pixels","brightness_n_pixels","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.288164611106498,0.362531412895011,0.0830388430941595,157.753317663029,1.063342714693e-34,0.268300658617976,688.115621226323,4.84072590134837e-44,0.0335581900038795,"spectral","brightness_n_pixels","spec_hull3d_a"
"10m","mean_pixel_brightness","563 nm brightness","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.557940849237796,0.600771106145507,0.311297991248193,787.395845900282,2.88085831781291e-143,92684.2883628243,-2578.615884897,7.58612409667842e-43,0.281291004101248,"spectral","mean_pixel_brightness","spec_hull3d_a"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.554566474494023,0.564633948035323,0.30754397463273,773.683214794852,3.29948486701375e-141,216110.591482439,-1566.42717319582,4.07107300196175e-41,0.289093554495494,"spectral","mean_blue_pixel_brightness","spec_hull3d_a"
"10m","mean_green_pixel_brightness","Green brightness","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.582407120972476,0.626856938620578,0.339198054559449,894.190786088898,6.27706664440427e-159,121773.369738074,-2885.75165691618,1.76563804853875e-43,0.277808832549146,"spectral","mean_green_pixel_brightness","spec_hull3d_a"
"10m","mean_red_pixel_brightness","Red brightness","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.430178192486889,0.453685058348812,0.185053277291287,395.56304732407,1.73845702876029e-79,44420.1702533401,-2157.22654634691,4.11361261034982e-43,0.206432183872291,"spectral","mean_red_pixel_brightness","spec_hull3d_a"
"10m","mean_nir_pixel_brightness","NIR brightness","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.175694662802873,0.207865856392557,0.0308686145374153,55.4858993639036,1.47365621871378e-13,4145.27242595091,693.944732036225,1.69621320295256e-43,-0.0520083814551563,"spectral","mean_nir_pixel_brightness","spec_hull3d_a"
"10m","env_elev","Mean elevation","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.177945730895946,-0.184030460657518,0.0316646831440923,56.9636127866405,7.11550211182912e-14,-1.48223944770329,883.736849019192,2.12333022540874e-29,0.136891469650947,"spectral","env_elev","spec_spca_alpha"
"10m","env_tri5","TRI 5x5","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.0914145749581252,-0.0955599427757559,0.00835662451477469,14.6799144376016,0.000131915855686212,-15.7134982878659,578.63070677613,2.71398571529596e-30,0.0453785583470756,"spectral","env_tri5","spec_spca_alpha"
"10m","env_tri11","TRI 11x11","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.111199694732654,-0.112865378830097,0.0123653721086354,21.81016906954,3.24060860447715e-06,-4.29787336859988,586.724793613885,3.64376608413112e-30,0.0602384438711162,"spectral","env_tri11","spec_spca_alpha"
