"quad_id","scale","composition_cluster","cluster_size","species_value","phylo_value","phylo_residual","phylo_residual_z","abs_phylo_residual_z","species_metric","species_label","phylo_metric","phylo_label"
"1022_c","10m","10m_C4",374,7,609.671607,-143.934379511483,-0.905687989130047,0.905687989130047,"sp_rich","Species richness","phy_faith","Faith's PD"
"1022_d","10m","10m_C4",374,4,514.137215,72.4048122751866,0.455597676214809,0.455597676214809,"sp_rich","Species richness","phy_faith","Faith's PD"
"1023_a","10m","10m_C4",374,2,247.468474,13.6517937996334,0.0859021014741063,0.0859021014741063,"sp_rich","Species richness","phy_faith","Faith's PD"
"1023_b","10m","10m_C1",250,4,370.05874,-71.6736627248134,-0.450997014661409,0.450997014661409,"sp_rich","Species richness","phy_faith","Faith's PD"
"1023_c","10m","10m_C1",250,4,349.359698,-92.3727047248134,-0.581242990567414,0.581242990567414,"sp_rich","Species richness","phy_faith","Faith's PD"
"1023_d","10m","10m_C4",374,2,247.468474,13.6517937996334,0.0859021014741063,0.0859021014741063,"sp_rich","Species richness","phy_faith","Faith's PD"
"1024_a","10m","10m_C6",286,3,348.305215,10.53067353741,0.0662628662634484,0.0662628662634484,"sp_rich","Species richness","phy_faith","Faith's PD"
"1024_b","10m","10m_C6",286,3,348.305215,10.53067353741,0.0662628662634484,0.0662628662634484,"sp_rich","Species richness","phy_faith","Faith's PD"
"1024_c","10m","10m_C3",339,3,286.408154,-51.3663874625899,-0.323216178982147,0.323216178982147,"sp_rich","Species richness","phy_faith","Faith's PD"
"1024_d","10m","10m_C6",286,2,195.759125,-38.0575552003666,-0.239472117485843,0.239472117485843,"sp_rich","Species richness","phy_faith","Faith's PD"
"102_a","10m","10m_C2",320,4,505.377473,63.6450702751867,0.400478161723519,0.400478161723519,"sp_rich","Species richness","phy_faith","Faith's PD"
"102_b","10m","10m_C2",320,5,629.11171,83.4214460129633,0.524918382572897,0.524918382572897,"sp_rich","Species richness","phy_faith","Faith's PD"
"102_c","10m","10m_C2",320,5,532.340436,-13.3498279870368,-0.0840020216563112,0.0840020216563112,"sp_rich","Species richness","phy_faith","Faith's PD"
"102_d","10m","10m_C2",320,4,382.921154,-58.8112487248134,-0.370061980859504,0.370061980859504,"sp_rich","Species richness","phy_faith","Faith's PD"
"103_a","10m","10m_C5",431,5,503.885728,-41.8045359870368,-0.263049497021615,0.263049497021615,"sp_rich","Species richness","phy_faith","Faith's PD"
"103_b","10m","10m_C2",320,5,532.340436,-13.3498279870368,-0.0840020216563112,0.0840020216563112,"sp_rich","Species richness","phy_faith","Faith's PD"
"103_c","10m","10m_C2",320,3,394.229465,56.45492353741,0.355235117201503,0.355235117201503,"sp_rich","Species richness","phy_faith","Faith's PD"
"103_d","10m","10m_C5",431,3,283.601073,-54.17346846259,-0.340879363794865,0.340879363794865,"sp_rich","Species richness","phy_faith","Faith's PD"
"104_a","10m","10m_C5",431,3,394.229466,56.45492453741,0.35523512349387,0.35523512349387,"sp_rich","Species richness","phy_faith","Faith's PD"
"104_b","10m","10m_C2",320,3,394.229465,56.45492353741,0.355235117201503,0.355235117201503,"sp_rich","Species richness","phy_faith","Faith's PD"
"104_c","10m","10m_C2",320,3,394.229465,56.45492353741,0.355235117201503,0.355235117201503,"sp_rich","Species richness","phy_faith","Faith's PD"
"104_d","10m","10m_C5",431,3,394.229466,56.45492453741,0.35523512349387,0.35523512349387,"sp_rich","Species richness","phy_faith","Faith's PD"
"105_a","10m","10m_C5",431,4,908.417335,466.684932275187,2.93655302717919,2.93655302717919,"sp_rich","Species richness","phy_faith","Faith's PD"
"105_b","10m","10m_C5",431,3,786.012243,448.23770153741,2.82047627492153,2.82047627492153,"sp_rich","Species richness","phy_faith","Faith's PD"
"105_c","10m","10m_C5",431,4,790.917235,349.184832275187,2.19719923517505,2.19719923517505,"sp_rich","Species richness","phy_faith","Faith's PD"
"105_d","10m","10m_C5",431,3,786.012243,448.23770153741,2.82047627492153,2.82047627492153,"sp_rich","Species richness","phy_faith","Faith's PD"
"106_a","10m","10m_C5",431,5,1032.151572,486.461308012963,3.06099324802857,3.06099324802857,"sp_rich","Species richness","phy_faith","Faith's PD"
"106_b","10m","10m_C5",431,5,913.322327,367.632063012963,2.31327598743271,2.31327598743271,"sp_rich","Species richness","phy_faith","Faith's PD"
"106_c","10m","10m_C3",339,3,256.586883,-81.18765846259,-0.510862570740395,0.510862570740395,"sp_rich","Species richness","phy_faith","Faith's PD"
"106_d","10m","10m_C2",320,7,1071.573449,317.967462488517,2.00076807700437,2.00076807700437,"sp_rich","Species richness","phy_faith","Faith's PD"
"107_a","10m","10m_C3",339,8,607.937148,-249.626699773707,-1.5707428935224,1.5707428935224,"sp_rich","Species richness","phy_faith","Faith's PD"
"107_b","10m","10m_C3",339,4,367.40045,-74.3319527248134,-0.467723951844839,0.467723951844839,"sp_rich","Species richness","phy_faith","Faith's PD"
"107_c","10m","10m_C4",374,3,335.036771,-2.73777046258999,-0.0172270574506137,0.0172270574506137,"sp_rich","Species richness","phy_faith","Faith's PD"
"107_d","10m","10m_C6",286,7,571.043694,-182.562292511484,-1.14874900740796,1.14874900740796,"sp_rich","Species richness","phy_faith","Faith's PD"
"108_a","10m","10m_C4",374,5,469.465465,-76.2247989870367,-0.479634435850008,0.479634435850008,"sp_rich","Species richness","phy_faith","Faith's PD"
"108_b","10m","10m_C4",374,5,469.465465,-76.2247989870367,-0.479634435850008,0.479634435850008,"sp_rich","Species richness","phy_faith","Faith's PD"
"108_c","10m","10m_C1",250,6,473.477126,-176.17099924926,-1.10853264240712,1.10853264240712,"sp_rich","Species richness","phy_faith","Faith's PD"
"108_d","10m","10m_C3",339,5,350.378173,-195.312090987037,-1.22897542296155,1.22897542296155,"sp_rich","Species richness","phy_faith","Faith's PD"
"109_a","10m","10m_C3",339,2,195.759126,-38.0575542003666,-0.239472111193475,0.239472111193475,"sp_rich","Species richness","phy_faith","Faith's PD"
"109_b","10m","10m_C3",339,3,286.408155,-51.36638646259,-0.32321617268978,0.32321617268978,"sp_rich","Species richness","phy_faith","Faith's PD"
"109_c","10m","10m_C1",250,6,658.833729,9.18560375073984,0.0577991930641508,0.0577991930641508,"sp_rich","Species richness","phy_faith","Faith's PD"
"109_d","10m","10m_C1",250,4,346.366511,-95.3658917248134,-0.600077222696812,0.600077222696812,"sp_rich","Species richness","phy_faith","Faith's PD"
