"scale","composition_cluster","quad_id","cluster_size","composition_type","mean_silhouette_width"
"10m","10m_C2","914_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","706_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","706_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1803_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","801_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1907_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1908_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1918_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1918_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","708_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1814_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","500_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","604_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","702_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","6_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","807_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","700_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","700_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1513_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","502_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","909_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","701_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1911_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1216_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","3_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","702_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","904_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","807_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1509_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","807_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1208_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","505_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1903_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","4_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1309_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1424_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","402_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1309_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","705_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1216_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","716_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","400_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","716_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","707_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","508_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","707_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","909_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","707_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","509_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","805_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","405_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","4_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","402_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1216_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","810_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","504_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","710_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","501_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","804_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1510_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","804_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","502_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","208_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","805_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1216_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","4_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","507_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","806_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","706_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1208_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","2_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1917_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","915_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","909_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","805_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","909_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1309_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","809_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","915_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","910_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","903_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1913_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","2_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","703_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1900_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1523_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1918_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","903_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","904_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","903_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1912_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","806_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","507_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","811_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","508_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","809_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","806_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","3_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1912_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","705_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","600_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","806_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","911_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C5","1014_a",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","1417_c",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","1313_a",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","1319_c",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","1118_a",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","1619_a",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","1721_c",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","1723_d",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","106_b",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","605_c",431,"LITU+LIST2+ACNE2",0.12926561435567
"10m","10m_C5","401_c",431,"LITU+LIST2+ACNE2",0.12926561435567
