"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"20m","20m_C4",115,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",115,0.902790195873699,181.073369809265,0.717638369521563,552.220874043478
"20m","20m_C1",93,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",93,0.899609733073788,262.55059234096,0.768796345693091,783.639714612903
"20m","20m_C5",90,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",90,0.894559160103558,235.404398932775,1.50727591416177,846.058984322222
"20m","20m_C1",93,"sp_even","Species evenness","phy_faith","Faith's PD",93,0.875039369007807,292.789849509622,0.828025140961654,783.639714612903
"20m","20m_C4",115,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",115,0.868409898328787,168.449476902626,1.50059352639308,552.220874043478
"20m","20m_C5",90,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",90,0.858603158541227,244.034907512361,0.722201176189143,846.058984322222
"20m","20m_C5",90,"sp_even","Species evenness","phy_faith","Faith's PD",90,0.837906634411129,268.405844862697,0.798828930750883,846.058984322222
"20m","20m_C4",115,"sp_even","Species evenness","phy_faith","Faith's PD",115,0.83742147369847,175.836043188952,0.804440659892405,552.220874043478
"20m","20m_C4",115,"sp_rich","Species richness","phy_faith","Faith's PD",115,0.782839663303274,136.138472056992,6.57391304347826,552.220874043478
"20m","20m_C6",58,"sp_even","Species evenness","phy_faith","Faith's PD",58,0.665717758964336,200.519570658598,0.73714920925744,592.307258913793
"20m","20m_C2",76,"sp_even","Species evenness","phy_faith","Faith's PD",76,0.515553728116859,152.075422918649,0.822253655756762,865.306978631579
"20m","20m_C6",58,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",58,0.512691663069398,154.229451276331,0.605877124598575,592.307258913793
"20m","20m_C2",76,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",76,0.466386040701659,137.562896936606,0.788107362924453,865.306978631579
"20m","20m_C2",76,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",76,0.441243502834449,128.256287350353,1.79752447851432,865.306978631579
"20m","20m_C6",58,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",58,0.418615657380704,117.45888194499,1.18436948593661,592.307258913793
"20m","20m_C2",76,"sp_rich","Species richness","phy_faith","Faith's PD",76,0.371605428714581,92.2117904731398,9.02631578947368,865.306978631579
"20m","20m_C6",58,"sp_rich","Species richness","phy_faith","Faith's PD",58,0.323705018735207,63.6791794026447,5.20689655172414,592.307258913793
"20m","20m_C5",90,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",90,0.991461879869833,67.918324691406,1.50727591416177,213.302348735956
"20m","20m_C5",90,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",90,0.985187741037496,67.5453426084815,6.83333333333333,213.302348735956
"20m","20m_C5",90,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",90,0.949060397989711,69.9373201234095,0.798828930750883,213.302348735956
"20m","20m_C5",90,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",90,0.947493723202493,67.4030432630737,0.722201176189143,213.302348735956
"20m","20m_C1",93,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",93,0.805013811005409,53.336329658571,0.768796345693091,187.585229242798
"20m","20m_C1",93,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",93,0.792268992515875,56.8250408020536,0.828025140961654,187.585229242798
"20m","20m_C1",93,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",93,0.77624641280496,52.4746762522042,1.68567098871252,187.585229242798
"20m","20m_C4",115,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",115,0.734652778934772,39.6346054607953,0.804440659892405,148.778322153113
"20m","20m_C1",93,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",93,0.729354227674335,52.66321301911,7.88172043010753,187.585229242798
"20m","20m_C4",115,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",115,0.699650520477645,37.0421782356337,0.717638369521563,148.778322153113
"20m","20m_C3",68,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",68,0.699055227385094,49.4211776727062,0.802165352732256,190.004112723487
"20m","20m_C3",68,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",68,0.686747899554276,48.4825833596486,1.84728833413922,190.004112723487
"20m","20m_C3",68,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",68,0.676239437601699,51.6143390669305,0.834537771912611,190.004112723487
"20m","20m_C3",68,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",68,0.667035501643786,47.7808463614146,9.33823529411765,190.004112723487
"20m","20m_C4",115,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",115,0.658555390083104,36.9654306088232,1.50059352639308,148.778322153113
"20m","20m_C4",115,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",115,0.638520753838826,39.8290288508022,6.57391304347826,148.778322153113
"20m","20m_C6",58,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",58,0.509048714912297,35.8757319400598,5.20689655172414,150.942589853942
"20m","20m_C6",58,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",58,0.479443135603001,30.9729241709953,0.73714920925744,150.942589853942
"20m","20m_C2",76,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",76,0.376203550134621,23.3903604280469,9.02631578947368,183.90993946636
"20m","20m_C6",58,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",58,0.336138487929058,21.6596828351049,1.18436948593661,150.942589853942
"20m","20m_C2",76,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",76,0.280387057720419,16.3019534818653,1.79752447851432,183.90993946636
"20m","20m_C2",76,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",76,0.243414314482282,17.4659561504342,0.822253655756762,183.90993946636
"20m","20m_C2",76,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",76,0.225582406134726,15.1695400459526,0.788107362924453,183.90993946636
"20m","20m_C6",58,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",58,0.192346569265138,10.9661163991522,0.605877124598575,150.942589853942
"50m","50m_C1",26,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",26,0.941529399421499,2090.07416086075,17,4678.06804152864
"50m","50m_C1",26,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",26,0.928725554272944,2028.85297806196,0.861927796423262,4678.06804152864
"50m","50m_C1",26,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",26,0.917604729188359,2000.66877732271,2.31535852223112,4678.06804152864
"50m","50m_C1",26,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",26,0.901491462824661,1915.71025252774,0.817888232651356,4678.06804152864
"50m","50m_C2",24,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",24,0.746308260853272,1209.48548578711,0.8104575238283,3049.59031463167
"50m","50m_C2",24,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",24,0.718789361172412,1045.51313667716,2.0778502725566,3049.59031463167
"50m","50m_C2",24,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",24,0.699104120888398,1059.19141307381,0.827713029131473,3049.59031463167
"50m","50m_C2",24,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",24,0.656258102199296,1000.72597705912,13.2916666666667,3049.59031463167
"50m","50m_C3",30,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",30,0.64447952581576,1257.69880239706,15.9333333333333,3616.42999782066
"50m","50m_C3",30,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",30,0.627477148960016,1229.86225150715,2.27395474074881,3616.42999782066
"50m","50m_C3",30,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",30,0.626777806757995,1223.62614284942,0.847986311735712,3616.42999782066
"50m","50m_C3",30,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",30,0.60699149226003,1184.73802813255,0.82780529355858,3616.42999782066
