"scale","sv_metric","sv_label","species_metric","species_label","phylo_metric","phylo_label","n","species_only_r2","phylo_only_r2","combined_r2","phylo_incremental_r2_after_species","partial_f","partial_f_p_value","phylo_slope_in_combined","phylo_p_value_in_combined"
"20m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_faith","Faith's PD",436,0.000521505186921959,0.0576610829332953,0.0787253259077964,0.0782038207208745,36.7558724063543,2.91712154169061e-09,0.00151233156760582,2.91712154169057e-09
"20m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",436,0.000521505186921959,0.0749696746102983,0.0981891707513648,0.0976676655644429,46.8946455484891,2.57763793270386e-11,0.00821765998588321,2.5776379327039e-11
"20m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",436,0.000521505186921959,0.0907116920793237,0.0927738437420941,0.0922523385551721,44.0301046424348,9.6825726161503e-11,0.000986537444397486,9.68257261615005e-11
"20m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_faith","Faith's PD",436,1.75941914661966e-05,0.0576610829332953,0.0586680263353429,0.0586504321438767,26.9784070113246,3.17330775903717e-07,0.00118536571368571,3.17330775903711e-07
"20m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",436,1.75941914661966e-05,0.0749696746102983,0.0811159362090529,0.0810983420175867,38.2154653425398,1.46513242176834e-09,0.00709476172975723,1.46513242176841e-09
"20m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",436,1.75941914661966e-05,0.0907116920793237,0.0909941842745133,0.0909765900830471,43.3362062425526,1.33614088305064e-10,0.000977823177976857,1.33614088305064e-10
"20m","spec_sa","SA entropy","sp_rich","Species richness","phy_faith","Faith's PD",485,8.07632733929699e-05,0.0288312976433233,0.0562173043297587,0.0561365410563657,28.6695368682858,1.3310583389834e-07,0.000117547977618199,1.33105833898339e-07
"20m","spec_sa","SA entropy","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",485,8.07632733929699e-05,0.0410976907676371,0.0478463442865368,0.0477655810131438,24.1799313694634,1.20537514154716e-06,0.000409589778604353,1.20537514154716e-06
"20m","spec_sa","SA entropy","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",485,8.07632733929699e-05,0.032914803141029,0.0341644204232106,0.0340836571498176,17.0094404198805,4.38061012633641e-05,4.38323991051899e-05,4.38061012633648e-05
"20m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_faith","Faith's PD",485,0.000434215779062449,0.0288312976433233,0.0502401964399154,0.049805980660853,25.2763726034153,7.01690827132916e-07,9.36330309279198e-05,7.01690827132924e-07
"20m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",485,0.000434215779062449,0.0410976907676371,0.0581736337666718,0.0577394179876093,29.5493951622214,8.6739509257509e-08,0.00046377444173588,8.67395092575082e-08
"20m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",485,0.000434215779062449,0.032914803141029,0.0353579630542551,0.0349237472751927,17.4502515357306,3.50156914198367e-05,4.36086461575822e-05,3.50156914198365e-05
"20m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_faith","Faith's PD",485,0.00211881612594675,0.0288312976433233,0.0497442747116335,0.0476254585856867,24.157150993576,1.21902737983388e-06,8.49141110018601e-05,1.21902737983385e-06
"20m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",485,0.00211881612594675,0.0410976907676371,0.0681401055693163,0.0660212894433695,34.149190990933,9.40878925804978e-09,0.000500817628794018,9.40878925804964e-09
"20m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",485,0.00211881612594675,0.032914803141029,0.0376677911319241,0.0355489750059773,17.8052919719223,2.9245637262924e-05,4.38048912140856e-05,2.92456372629236e-05
"20m","spec_sa","SA entropy","sp_even","Species evenness","phy_faith","Faith's PD",485,0.00105692540484463,0.0288312976433233,0.0327239037860798,0.0316669783812352,15.7798622745866,8.20262400957431e-05,6.17496663233775e-05,8.20262400957444e-05
"20m","spec_sa","SA entropy","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",485,0.00105692540484463,0.0410976907676371,0.0529436749371721,0.0518867495323275,26.4075246769749,4.02362188129436e-07,0.000413954298904298,4.02362188129419e-07
"20m","spec_sa","SA entropy","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",485,0.00105692540484463,0.032914803141029,0.0338008937160996,0.032743968311255,16.3347208907348,6.17756404047733e-05,4.17247170724871e-05,6.17756404047728e-05
"50m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_faith","Faith's PD",74,0.00846410906562271,0.0796402290878758,0.114502504630147,0.106038395564524,8.50225565227222,0.00474363408237393,0.00133997706121409,0.00474363408237392
"50m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",74,0.00846410906562271,0.196918801200073,0.202130701623171,0.193666592557548,17.2338102237538,9.06195105315183e-05,0.010001175300082,9.06195105315175e-05
"50m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",74,0.00846410906562271,0.175353723590693,0.186874063285093,0.17840995421947,15.5782839749996,0.00018407751816085,0.000247502013567673,0.000184077518160849
"50m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_faith","Faith's PD",74,7.42862149110019e-05,0.0796402290878758,0.112967421054526,0.112893134839615,9.03620990239346,0.00365714594073257,0.00109303138489861,0.00365714594073259
"50m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",74,7.42862149110019e-05,0.196918801200073,0.2163994108141,0.216325124599189,19.6006537750301,3.38300006360465e-05,0.010403650874601,3.38300006360468e-05
"50m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",74,7.42862149110019e-05,0.175353723590693,0.182906995982704,0.182832709767793,15.886958191651,0.000161085966863378,0.000254706688408004,0.00016108596686338
"50m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_faith","Faith's PD",74,8.04157953886699e-05,0.0796402290878758,0.0987945691173191,0.0987141533219304,7.77703356602324,0.0067868957503438,0.000927061293031462,0.0067868957503438
