"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"20m","20m_C5",111,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",111,0.581507859030762,330.389911235716,0.735762440735913,809.769014226729
"20m","20m_C5",111,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",111,0.573573709050113,326.819053891414,1.57527058801675,809.769014226729
"20m","20m_C5",111,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",111,0.561410998464685,317.924808750899,7.18018018018018,809.769014226729
"20m","20m_C3",96,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",96,0.540424767708214,261.779680520345,9.20833333333333,840.102040045131
"20m","20m_C3",96,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",96,0.523620780496263,270.615847175528,1.83527959370863,840.102040045131
"20m","20m_C3",96,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",96,0.520469972902638,275.545546567244,0.800243009709266,840.102040045131
"20m","20m_C3",96,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",96,0.517754091567281,281.777449837575,0.834728833761031,840.102040045131
"20m","20m_C2",97,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",97,0.96786652638767,245.543057910255,0.743067528645066,626.49468557732
"20m","20m_C2",97,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",97,0.95113330549323,222.567360881715,1.589595098181,626.49468557732
"20m","20m_C2",97,"sp_even","Species evenness","phy_faith","Faith's PD",97,0.936010993994817,278.247170868722,0.818001810366158,626.49468557732
"20m","20m_C1",81,"sp_rich","Species richness","phy_faith","Faith's PD",81,0.930922679462219,230.498055187474,8.11111111111111,865.949762345679
"20m","20m_C1",81,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",81,0.904163539411648,257.428510198718,1.70562720981049,865.949762345679
"20m","20m_C1",81,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",81,0.892139414599497,275.971667364378,0.773548319027075,865.949762345679
"20m","20m_C2",97,"sp_rich","Species richness","phy_faith","Faith's PD",97,0.884871764538663,176.980389965315,7.19587628865979,626.49468557732
"20m","20m_C1",81,"sp_even","Species evenness","phy_faith","Faith's PD",81,0.878592212948701,300.357338706302,0.828604731176683,865.949762345679
"20m","20m_C5",111,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",111,0.851869029882713,231.238266681237,0.735762440735913,675.974972387387
"20m","20m_C5",111,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",111,0.841221099480523,215.221801848445,1.57527058801675,675.974972387387
"20m","20m_C4",81,"sp_rich","Species richness","phy_faith","Faith's PD",81,0.82989415019872,171.276756569221,6.45679012345679,808.916180345679
"20m","20m_C6",34,"sp_even","Species evenness","phy_faith","Faith's PD",34,0.809173218219991,217.473767580248,0.732389312624692,541.470057794118
"20m","20m_C5",111,"sp_rich","Species richness","phy_faith","Faith's PD",111,0.804102522210347,180.015597280178,7.18018018018018,675.974972387387
"20m","20m_C5",111,"sp_even","Species evenness","phy_faith","Faith's PD",111,0.789714207316558,243.370691038991,0.807781377193856,675.974972387387
"20m","20m_C4",81,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",81,0.787731177665794,207.980194117442,1.40814540431151,808.916180345679
"20m","20m_C4",81,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",81,0.770206544593333,220.802331529897,0.687955185589461,808.916180345679
"20m","20m_C4",81,"sp_even","Species evenness","phy_faith","Faith's PD",81,0.745503361196099,251.147187337782,0.768444714314785,808.916180345679
"20m","20m_C3",96,"sp_even","Species evenness","phy_faith","Faith's PD",96,0.672892327251629,222.473814945305,0.834728833761031,896.403324125
"20m","20m_C3",96,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",96,0.625968307419486,202.550092288097,0.800243009709266,896.403324125
