"scale","x_metric","x_label","y_metric","y_label","moderator","moderator_label","moderator_is_plotted_metric","n","base_r2","additive_r2","full_interaction_r2","moderator_incremental_r2_after_metric","interaction_incremental_r2_after_additive","full_incremental_r2_after_metric","moderator_main_slope","moderator_main_p_value","interaction_slope","interaction_f","interaction_p_value","full_partial_f","full_partial_p_value","interaction_q_value","full_partial_q_value","moderator_main_q_value"
"10m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,2000,0.646982767488618,0.656728992869937,0.681999437586398,0.00974622538131831,0.0252704447164612,0.0350166700977795,-0.140154252247408,7.64348612142627e-14,-0.122790781812574,158.615466813083,4.70767315722749e-35,109.894889783657,5.28102412229234e-46,4.56282167546665e-34,1.90116868402524e-45,1.91975930491636e-13
"10m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.646982767488618,0.651332173227152,0.653539908279409,0.00434940573853371,0.00220773505225669,0.00655714079079039,0.072256755309292,6.52350584904278e-07,-0.0415036920344949,12.719038266197,0.000370475925561194,18.8882548541442,7.47472883696093e-09,0.00106090833228887,1.40569527381653e-08,1.11831528840733e-06
"10m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",FALSE,2000,0.574832579257708,0.589633661621927,0.591910856899141,0.0148010823642184,0.00227719527721415,0.0170782776414325,-0.172716882812392,4.07225592427436e-17,-0.0368603503978244,11.1379629920613,0.000861314261577779,41.7656812838495,1.70087438176817e-18,0.00230905525444256,4.28620344205578e-18,1.22167677728231e-16
"10m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.574832579257708,0.774398958004215,0.789435825280729,0.199566378746507,0.0150368672765132,0.21460324602302,0.489448703597512,4.07041556444632e-277,0.108315831649258,142.538905889072,8.71363770127349e-32,1017.14377489198,2.7217923929004e-305,7.31945566906973e-31,6.85891683010901e-304,8.79209761920405e-276
"10m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",FALSE,2000,0.562216998817861,0.570037277319087,0.578465326922837,0.00782027850122591,0.00842804960375043,0.0162483281049763,0.102208594877778,1.98677754620525e-09,0.0848943239195202,39.9074811243499,3.27406578034432e-10,38.4685590164916,4.04818211166034e-17,1.58666264739763e-09,1.00013910993961e-16,4.12638413442628e-09
"10m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.562216998817861,0.775980948784382,0.81432199089687,0.213763949966521,0.0383410421124882,0.25210499207901,0.501839191504882,7.40716034132811e-293,0.178968829311948,412.158232556343,1.87342288032921e-83,1355.03812923321,0,4.72102565842962e-82,0,2.66657772287812e-291
"20m","sp_rich","Species richness","sp_shannon","Shannon diversity","present_species_count","Number of species",TRUE,500,0.732261708215483,0.732261708215483,0.77141768582085,0,0.0391559776053669,0.0391559776053669,NA,NA,-0.136922069440966,85.135724256494,7.9816921517433e-19,85.135724256494,7.9816921517433e-19,4.78901529104598e-18,2.09519418983262e-18,NA
"20m","sp_rich","Species richness","sp_shannon","Shannon diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.732261708215483,0.732546641717059,0.748220784514219,0.000284933501575879,0.0156741427971597,0.0159590762987356,0.0184118455791955,0.467167034187747,-0.104361151955525,30.8777466495453,4.49152600442951e-08,15.7195299637827,2.40285839228211e-07,1.8864409218604e-07,4.20500218649368e-07,0.485134997041122
"20m","sp_rich","Species richness","sp_simpson","Simpson diversity","present_species_count","Number of species",TRUE,500,0.506648384743109,0.506648384743109,0.60674354666701,0,0.100095161923901,0.100095161923901,NA,NA,-0.218917742976202,126.500900505389,2.65526133707714e-26,126.500900505389,2.65526133707714e-26,1.76085751827221e-25,7.78053322027256e-26,NA
"20m","sp_rich","Species richness","sp_simpson","Simpson diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.506648384743109,0.507200457654277,0.561191624880701,0.000552072911167767,0.0539911672264244,0.0545432401375922,0.0256285352222682,0.455913904071186,-0.193690501226408,61.0280488311691,3.38280784160191e-14,30.8260377902891,2.40631052005711e-13,1.85319038279061e-13,5.41419867012849e-13,0.478045646987263
