quad_id,n_pixels,n_pairs,method,spectral_entropy,exact_entropy,boot_mean,boot_sd,boot_cv,boot_median,boot_min,boot_max,scale,boot_se,valid_entropy,boot_range,outlier_reps
1014_c,3681,6773040,bootstrap_mean,3.02787601267205,NA,3.02787601267205,0.008369492934149,0.00276414651693847,3.02833610784469,3.01029961955432,3.04875635490546,10 m,0.0010003457400516943,TRUE,0.038456735351140026,1
1014_d,4991,12452545,bootstrap_mean,2.99493936551989,NA,2.99493936551989,0.00709058695204575,0.00236752270636201,2.9945480887733,2.97516609586883,3.01218938774627,10 m,8.474872382058238e-4,TRUE,0.03702329187744002,1
1015_a,5129,13150756,bootstrap_mean,2.97601417321757,NA,2.97601417321757,0.00688628135082816,0.00231392760585644,2.97691576233754,2.95555785509948,2.98880201714445,10 m,8.230680482435712e-4,TRUE,0.03324416204497016,1
1015_b,4428,9801378,bootstrap_mean,3.03955868463154,NA,3.03955868463154,0.00728363115593514,0.00239627916801287,3.04015781466948,3.02061137652466,3.05626839921327,10 m,8.705604337413019e-4,TRUE,0.03565702268861015,0
1015_c,3443,5925403,bootstrap_mean,3.04525044882768,NA,3.04525044882768,0.160820722327929,0.0528103435268648,3.08416636786451,2.3934353737538,3.09621690689913,10 m,0.019221752830016325,TRUE,0.70278153314533,4
1015_d,3668,6725278,bootstrap_mean,3.04653270645314,NA,3.04653270645314,0.00770483545041744,0.0025290506266672,3.04647939933987,3.02830972380418,3.06425377173749,10 m,9.209039760552772e-4,TRUE,0.035944047933309964,0
1016_b,3459,5980611,bootstrap_mean,3.06445292740076,NA,3.06445292740076,0.00638001840342688,0.0020819436795325,3.06403908205645,3.04725524147908,3.08016118644255,10 m,7.625580523855748e-4,TRUE,0.0329059449634701,2
1016_c,5061,12804330,bootstrap_mean,2.95819253039896,NA,2.95819253039896,0.00748626805683048,0.00253068993309264,2.95902321199555,2.9393604758618,2.97238750094014,10 m,8.947801758669988e-4,TRUE,0.03302702507833999,0
1016_d,5267,13868011,bootstrap_mean,2.90558281989579,NA,2.90558281989579,0.0079824409651117,0.00274727703868995,2.90614529670708,2.8892294614794,2.92017992410945,10 m,9.540841813824351e-4,TRUE,0.03095046263005008,0
1017_a,4329,9367956,bootstrap_mean,2.93546130857236,NA,2.93546130857236,0.00674688308514684,0.00229840640905199,2.935132691075,2.91916993783927,2.950739707139,10 m,8.0640676872018e-4,TRUE,0.03156976929972988,0
1017_b,4401,9682200,bootstrap_mean,2.86637374546051,NA,2.86637374546051,0.00611037683690529,0.00213174462910928,2.86614853237152,2.84694204364801,2.88019184061673,10 m,7.303297209283401e-4,TRUE,0.03324979696871999,4
1017_c,6969,24279996,bootstrap_mean,2.83649915251303,NA,2.83649915251303,0.00822136755960634,0.00289842059438746,2.83594161358528,2.82039570289878,2.85941564760462,10 m,9.826413715095185e-4,TRUE,0.039019944705839915,1
1017_d,6878,23650003,bootstrap_mean,2.88526799565235,NA,2.88526799565235,0.00859421150198268,0.00297865276810779,2.88711544231676,2.86314978479137,2.90071693256431,10 m,0.0010272047461840409,TRUE,0.03756714777293979,0
1018_a,5184,13434336,bootstrap_mean,2.96854841195814,NA,2.96854841195814,0.0074471950954619,0.00250869922331821,2.96939340310368,2.9481005204207,2.98548909923063,10 m,8.901100637390844e-4,TRUE,0.037388578809930184,1
