quad_id,n_pixels,n_pairs,method,spectral_entropy,exact_entropy,boot_mean,boot_sd,boot_cv,boot_median,boot_min,boot_max,scale,boot_se,valid_entropy,boot_range,outlier_reps
sub50_4,144375,10421998125,bootstrap_mean,2.95008960714047,NA,2.95008960714047,0.221069846935833,0.0749366549411756,3.02603119289584,2.31413482602473,3.07279673768596,50 m,0.026422900571888293,TRUE,0.7586619116612301,8
sub50_58,189724,17997503226,bootstrap_mean,2.77425817465802,NA,2.77425817465802,0.176852404637403,0.0637476375677268,2.82076939304512,2.10969470014864,2.8593045727391,50 m,0.021137905365220668,TRUE,0.7496098725904599,5
sub50_44,152090,11565608005,bootstrap_mean,3.0109348454029,NA,3.0109348454029,0.190589350265684,0.0632990616042974,3.06588087096723,2.38190851220367,3.09515443054092,50 m,0.022779784407199914,TRUE,0.7132459183372504,6
sub50_60,164492,13528726786,bootstrap_mean,2.88651322016211,NA,2.88651322016211,0.177666492948727,0.0615505557735673,2.93451814914431,2.23052602549594,2.96762995940141,50 m,0.021235207529242583,TRUE,0.7371039339054701,5
sub50_62,48957,1198369446,bootstrap_mean,3.14822619129451,NA,3.14822619129451,0.192250591751804,0.0610663211821997,3.20624410935584,2.51307313550163,3.23786006379065,50 m,0.022978340742322294,TRUE,0.7247869282890202,6
sub50_53,73073,2669795128,bootstrap_mean,3.0007820395582,NA,3.0007820395582,0.179292331526686,0.0597485352695201,3.05051851767821,2.34760684693699,3.07897647961835,50 m,0.021429532407496198,TRUE,0.7313696326813597,6
sub50_34,182142,16587763011,bootstrap_mean,2.75619945231375,NA,2.75619945231375,0.15821761280027,0.0574042682823445,2.79263151437596,2.10534389819985,2.83021499832096,50 m,0.018910621731947425,TRUE,0.7248711001211099,4
sub50_66,194951,19002848725,bootstrap_mean,2.7529412859088,NA,2.7529412859088,0.139705630539987,0.0507477697599595,2.78002382767376,2.08061805661987,2.81641492484388,50 m,0.016698016650649326,TRUE,0.7357968682240101,3
sub50_35,193953,18808786128,bootstrap_mean,2.78205722913375,NA,2.78205722913375,0.139563216953877,0.0501654730507945,2.80949300853043,2.11513933255148,2.84761183990832,50 m,0.016680994971401665,TRUE,0.7324725073568401,3
sub50_73,165703,13728659253,bootstrap_mean,2.7962661628137,NA,2.7962661628137,0.137045466539239,0.0490101651844685,2.82476633685851,2.14362406224232,2.85735296615701,50 m,0.01638006623872778,TRUE,0.7137289039146899,3
sub50_77,182980,16740748710,bootstrap_mean,2.71163212773938,NA,2.71163212773938,0.115341548799944,0.0425358394378152,2.72859187565948,2.04679658760273,2.76634056689444,50 m,0.013785951897063217,TRUE,0.7195439792917098,3
sub50_74,185454,17196500331,bootstrap_mean,2.75728666651351,NA,2.75728666651351,0.115854652930823,0.0420176307156764,2.77743187034227,2.07483780717867,2.80886011842151,50 m,0.013847279570742641,TRUE,0.7340223112428399,2
sub50_40,171408,14690265528,bootstrap_mean,2.85368262439775,NA,2.85368262439775,0.112696464001569,0.0394915899329739,2.87155553636869,2.20472768874856,2.90751483049207,50 m,0.013469803794549887,TRUE,0.7027871417435101,3
