scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,120_d,fixed_1250,1250,0.17685342388228636,50,111.40719198242564,110.76226812587866,4.635156498354152,97.45212352077321,121.28588647104954,squared_euclidean_pc1_pc3,1250,1250,0.041605541041599386,0.6555101183694226,110.08989508086279,112.7244888839885,111.09205940392765,0.3151325784979946,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (17.7%)","1,250
17.7%",7068,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,120_d,fixed_2000,2000,0.2829654782116582,50,110.98165674407815,109.84248570982183,3.549504101815139,104.40414022296204,122.34555425621438,squared_euclidean_pc1_pc3,2000,2000,0.031982799734196043,0.50197568404859,109.9728988397731,111.99041464838321,111.09205940392765,-0.11040265984949826,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (28.3%)","2,000
28.3%",7068,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,120_d,fixed_3000,3000,0.4244482173174873,50,111.15684970088614,110.98564681756429,2.114011601150949,106.65806750781493,117.44649714408675,squared_euclidean_pc1_pc3,3000,3000,0.019018275588410242,0.2989663877361734,110.55605425135755,111.75764515041473,111.09205940392765,0.06479029695849192,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (42.4%)","3,000
42.4%",7068,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,120_d,fixed_4000,4000,0.5659309564233164,50,111.09205940392765,111.33679492537226,2.0508007011078626,106.28688432580681,115.36009158280072,squared_euclidean_pc1_pc3,4000,4000,0.018460371624322923,0.29002701652309915,110.50922829342436,111.67489051443094,111.09205940392765,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (56.6%)","4,000
56.6%",7068,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,pct_1,80,0.009966363523109506,50,135.83672419962718,132.4137341122261,23.65938380874002,90.28644491190985,211.0805453533571,squared_euclidean_pc1_pc3,80,80,0.17417516469235464,3.3459421459710548,129.11280171821667,142.5606466810377,140.22614159268906,-4.389417393061876,percent,0.01,1% of pixels,1%,1% of pixels = 80 pixels (1.0%),"1%
80 px",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,pct_2,161,0.02005730659025788,50,141.0072144932908,136.30304846385263,18.25094546549687,111.87045754168774,195.72654450526684,squared_euclidean_pc1_pc3,161,161,0.12943270690851963,2.5810734603437413,135.82035318217254,146.19407580440907,140.22614159268906,0.7810729006017425,percent,0.02,2% of pixels,2%,2% of pixels = 161 pixels (2.0%),"2%
161 px",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,pct_3,241,0.030023670113367384,50,138.02306181671977,134.1442255837486,13.067657769094602,113.37573325227548,165.13923438298508,squared_euclidean_pc1_pc3,241,241,0.09467735027097926,1.8480458845503729,134.30927457004876,141.7368490633908,140.22614159268906,-2.203079775969286,percent,0.03,3% of pixels,3%,3% of pixels = 241 pixels (3.0%),"3%
241 px",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_1250,1250,0.15572443004858602,50,140.44599991800968,140.143948868152,5.73885555963017,127.8371527617918,154.9454103760099,squared_euclidean_pc1_pc3,1250,1250,0.04086165190165921,0.8115967364929224,138.8150352138186,142.07696462220076,140.22614159268906,0.21985832532061522,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (15.6%)","1,250
15.6%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_2000,2000,0.24915908807773762,50,139.3002372466882,138.67421909198498,4.5558098776739255,130.4089198250534,149.8760153219279,squared_euclidean_pc1_pc3,2000,2000,0.03270496854650718,0.6442888116599776,138.00549040521688,140.59498408815952,140.22614159268906,-0.9259043460008627,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (24.9%)","2,000
24.9%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_3000,3000,0.37373863211660646,50,140.0455301469922,139.61733287990845,2.794120923781753,134.33188532410563,149.2035965924594,squared_euclidean_pc1_pc3,3000,3000,0.0199515180587987,0.39514837053225954,139.25144976657862,140.8396105274058,140.22614159268906,-0.1806114456968544,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (37.4%)","3,000
37.4%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1305_c,fixed_4000,4000,0.49831817615547525,50,140.22614159268906,139.75481346421208,2.537676438129881,135.05297568715778,145.42575733117124,squared_euclidean_pc1_pc3,4000,4000,0.018097028195363164,0.3588816435717926,139.50494192870696,140.94734125667117,140.22614159268906,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (49.8%)","4,000
49.8%",8027,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1315_b,pct_1,91,0.010025338768315522,50,181.35073149323006,179.66397045900047,29.694468690230114,122.08519831156273,243.4956144405897,squared_euclidean_pc1_pc3,91,91,0.16374055095189197,4.199432034918666,172.91165686585026,189.78980612060985,183.52694235935243,-2.176210866122375,percent,0.01,1% of pixels,1%,1% of pixels = 91 pixels (1.0%),"1%
91 px",9077,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1315_b,pct_2,182,0.020050677536631045,50,190.04528409659983,187.88075080971936,23.19060631930318,144.90210299221397,252.6645060719394,squared_euclidean_pc1_pc3,182,182,0.12202673920345962,3.279646997641376,183.45458670361447,196.6359814895852,183.52694235935243,6.518341737247397,percent,0.02,2% of pixels,2%,2% of pixels = 182 pixels (2.0%),"2%
182 px",9077,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1315_b,pct_3,272,0.029965847747052993,50,182.71982380241295,182.6680066558659,13.789378117817193,154.49953581743674,213.64012067860926,squared_euclidean_pc1_pc3,272,272,0.0754673348017704,1.9501125550907856,178.80092590208767,186.63872170273822,183.52694235935243,-0.8071185569394856,percent,0.03,3% of pixels,3%,3% of pixels = 272 pixels (3.0%),"3%
272 px",9077,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
